Target Name,Mass [MJ],Mass [ME],Radius [RJ],Radius [RE],SMA [au],Host,Teff [K],log(L) [Lsun],R [Rsun],M [Msun],Instrument,EAP [mon],Proposal ID,Status,Type
L 98-59 b,0.0013,0.41,,,0.022,M3,3415,-1.948,0.3030,0.2730,NIRSpec / BOTS,0,2512,,Transit
L98-59 c,0.0070,2.22,0.1236,1.3855,0.030,M3,3415,-1.948,0.3030,0.2730,NIRISS / SOSS,12,1201,,Transit
L98-59 d,0.0061,1.94,0.1357,1.5211,0.049,M3,3415,-1.948,0.3030,0.2730,NIRISS / SOSS,12,1201,,Transit
L98-59 d,0.0061,1.94,0.1357,1.5211,0.049,M3,3415,-1.948,0.3030,0.2730,NIRSpec / BOTS,12,1224,,Transit
LHS 3844 b,,,0.1162,1.3025,0.006,M?,3004,-2.583,0.1886,0.1579,MIRI / LRS,12,1846,,Eclipse
LP 791-18 b,,,0.1075,1.2050,0.010,M6,2949,-2.698,0.1714,0.1416,NIRSpec / BOTS,12,1201,,Transit
LTT 1445A b,0.0090,2.86,0.1230,1.3788,0.038,M3.0,3340,-2.046,0.2650,0.2570,MIRI / LRS,12,2708,Completed,Eclipse
LTT 1445A b,0.0090,2.86,0.1230,1.3788,0.038,M3.0,3340,-2.046,0.2650,0.2570,NIRSpec / BOTS,0,2512,,Transit
LTT 9779 b,0.0923,29.31,0.4210,4.7192,0.017,G8,5443,-0.150,0.9490,0.7700,NIRISS / SOSS,12,1201,,Phase Curve
TOI 260 b,,,,,,M0,,,,,NIRSpec / BOTS,0,2512,,Transit
TOI 421 b,0.0511,16.24,0.1718,1.9258,0.118,G9,5325,-0.273,0.8710,0.8520,NIRISS / SOSS,12,1935,,Transit
TOI 421 b,0.0511,16.24,0.1718,1.9258,0.118,G9,5325,-0.273,0.8710,0.8520,NIRSpec / BOTS,12,1935,,Transit
TOI 776 b,0.0130,4.13,0.1650,1.8496,0.065,M1,3709,-1.300,0.5380,0.5440,NIRSpec / BOTS,0,2512,,Transit
TOI 836 b,0.0143,4.54,,,0.042,K7,,,,,NIRSpec / BOTS,0,2512,,Transit
TOI 836 c,0.0302,9.60,,,0.075,K7,,,,,NIRSpec / BOTS,0,2512,,Transit
TRAPPIST-1 b,0.0027,0.86,0.1000,1.1210,0.011,M7.5,2566,-3.260,0.1192,0.0898,MIRI / Imaging,12,1279,,Eclipse
TRAPPIST-1 b,0.0027,0.86,0.1000,1.1210,0.011,M7.5,2566,-3.260,0.1192,0.0898,NIRISS / SOSS,0,2589,Completed,Transit
TRAPPIST-1 c,0.0043,1.37,0.0942,1.0559,0.015,M7.5,2566,-3.260,0.1192,0.0898,MIRI / Imaging,12,2304,,Eclipse
TRAPPIST-1 c,0.0043,1.37,0.0942,1.0559,0.015,M7.5,2566,-3.260,0.1192,0.0898,NIRSpec / BOTS,0,2420,Partial,Transit
TRAPPIST-1 c,0.0043,1.37,0.0942,1.0559,0.015,M7.5,2566,-3.260,0.1192,0.0898,NIRISS / SOSS,0,2589,Completed,Transit
TRAPPIST-1 d,0.0013,0.41,0.0699,0.7835,0.021,M7.5,2566,-3.260,0.1192,0.0898,NIRSpec / BOTS,12,1201,,Transit
TRAPPIST-1 e,0.0020,0.64,0.0812,0.9102,0.028,M7.5,2566,-3.260,0.1192,0.0898,NIRSpec / BOTS,12,1331,,Transit
TRAPPIST-1 f,0.0021,0.67,0.0932,1.0447,0.037,M7.5,2566,-3.260,0.1192,0.0898,NIRISS / SOSS,12,1201,,Transit
TRAPPIST-1 g,0.0042,1.33,0.1024,1.1479,0.045,M7.5,2566,-3.260,0.1192,0.0898,NIRSpec / BOTS,0,2589,Completed,Transit
TRAPPIST-1 h,0.0010,0.32,0.0674,0.7555,0.063,M7.5,2566,-3.260,0.1192,0.0898,NIRSpec / BOTS,0,1981,Completed,Transit
V 1298 Tau b,2.2000,699.10,0.8217,9.2109,0.169,K0-K1.5,5159,0.013,1.3450,1.1010,NIRSpec / BOTS,12,2149,,Transit
V 1298 Tau c,,,0.4990,5.5935,0.083,K0-K1.5,5159,0.013,1.3450,1.1010,NIRSpec / BOTS,12,2194,,Transit
WASP-107 b,0.1200,38.13,1.1458,12.8439,0.055,K6,4425,-0.879,0.6700,0.6830,NIRCam / GTS,12,1185,,Transit
WASP-107 b,0.1200,38.13,1.1458,12.8439,0.055,K6,4425,-0.879,0.6700,0.6830,NIRSpec / BOTS,12,1201,,Eclipse
WASP-107 b,0.1200,38.13,1.1458,12.8439,0.055,K6,4425,-0.879,0.6700,0.6830,NIRISS / SOSS,12,1201,,Transit
WASP-107 b,0.1200,38.13,1.1458,12.8439,0.055,K6,4425,-0.879,0.6700,0.6830,NIRSpec / BOTS,12,1224,,Transit
WASP-107 b,0.1200,38.13,1.1458,12.8439,0.055,K6,4425,-0.879,0.6700,0.6830,MIRI / LRS,12,1280,,Transit
WASP-121 b,1.1840,376.24,1.7530,19.6503,0.025,F6,6776,0.644,1.4580,1.3580,NIRSpec / BOTS,12,1729,,Phase Curve
WASP-121 b,0.1800,57.20,1.7530,19.6503,0.052,F6,6776,0.644,1.4580,1.3580,NIRISS / SOSS,12,1201,,Phase Curve
