Target Name,Mass [MJ],Mass [ME],Radius [RJ],Radius [RE],SMA [au],T_eq [K],Host,Teff [K],log(L) [Lsun],R [Rsun],a/Rs,M [Msun],Instrument,EAP [mon],Proposal ID,Type,,
HAT-P-12 b,0.2105,66.89,0.9190,10.3015,0.038,963,K?,4652,-0.679,0.7036,11.7306,0.7400,NIRISS / SOSS,12,1281,Transit,,
HAT-P-12 b,0.2105,66.89,0.9190,10.3015,0.038,963,K?,4652,-0.679,0.7036,11.7306,0.7400,NIRSpec / BOTS,12,1281,Transit,,
HAT-P-12 b,0.2105,66.89,0.9190,10.3015,0.038,963,K?,4652,-0.679,0.7036,11.7306,0.7400,MIRI / LRS,12,1281,Transit,,
HAT-P-26 b,0.0585,18.59,0.6330,7.0956,0.048,1001,K1,5061,-0.359,0.8598,11.9744,0.8460,MIRI / LRS,12,1177,Transit,,
HAT-P-26 b,0.0585,18.59,0.6330,7.0956,0.048,1001,K1,5061,-0.359,0.8598,11.9744,0.8460,MIRI / LRS,12,1312,Eclipse,,
HAT-P-26 b,0.0585,18.59,0.6330,7.0956,0.048,1001,K1,5061,-0.359,0.8598,11.9744,0.8460,NIRISS / SOSS,12,1312,Transit,,
HAT-P-26 b,0.0585,18.59,0.6330,7.0956,0.048,1001,K1,5061,-0.359,0.8598,11.9744,0.8460,NIRSpec / BOTS,12,1312,T + E,,
HD 149026 b,0.3570,113.44,0.8110,9.0909,0.043,1626,G0 IV,6084,0.420,1.4600,6.3127,1.1400,NIRCam / GTS,12,1274,Eclipse,,
HD 15337 b,0.0227,7.21,0.1460,1.6366,0.053,1001,K1,5175,-0.339,0.8482,13.3042,0.8800,NIRSpec / BOTS,0,2512,Transit,,
HD 15337 c,0.0277,8.80,0.2250,2.5221,0.124,642,K1,5175,-0.339,0.8482,31.2965,0.8800,NIRSpec / BOTS,0,2512,Transit,,
HD 189733 b,1.1380,361.62,1.1000,12.3305,0.031,1209,K2,3213,-2.319,0.2236,29.7993,0.1929,NIRCam / GTS,12,1185,Eclipse,,
HD 189733 b,1.1380,361.62,1.1000,12.3305,0.031,1209,K2,3213,-2.319,0.2236,29.7993,0.1929,NIRCam / GTS,12,1274,Eclipse,,
HD 189733 b,1.1380,361.62,1.1000,12.3305,0.031,1209,K2,3213,-2.319,0.2236,29.7993,0.1929,MIRI / MRS,12,1633,Transit,,
HD 189733 b,1.1380,361.62,1.1000,12.3305,0.031,1209,K2,3213,-2.319,0.2236,29.7993,0.1929,NIRCam / GTS,12,1633,Transit,,
HD 189733 b,1.1380,361.62,1.1000,12.3305,0.031,1209,K2,3213,-2.319,0.2236,29.7993,0.1929,MIRI / LRS,12,2001,Transit,,
HD 189733 b,1.1380,361.62,1.1000,12.3305,0.031,1209,K2,3213,-2.319,0.2236,29.7993,0.1929,MIRI / LRS,12,2021,Eclipse,,
HD 209458 b,0.6900,219.26,1.3200,14.7965,0.047,1448,G0,6026,0.231,1.2000,8.5029,1.0691,NIRCam / GTS,12,1274,Eclipse,,
HD 304636 b,0.0695,22.10,,,0.029,,M0,3767,,0.5300,11.8014,0.4700,NIRCam / GTS,0,1981,Transit,,
HD 80606 b,4.1641,1323.23,0.9800,10.9853,0.460,405,G5,5565,-0.002,1.0665,92.7693,1.0741,MIRI / LRS,12,2008,Phase Curve,,
