Star Name,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star W4 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Name,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Flag,Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,Type,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations
55 Cnc,0.91,-0.02,0.02,5172,-18,18,0.94,-0.01,0.01,12.5855,-0.0123,0.0124,4.43,-0.02,0.02,Gaia DR2 704967037090946688,4.265,4.768,4.015,5.95084,5.72973,4.001,3.296,4.051,4.014,0,0.35,-0.1,0.1,[Fe/H],10.2,-2.5,2.5,G8 V,133.1468373,28.3298154,55 Cnc e,1.871899782,0.033626942,-0.033626942,0.167,0.003,-0.003,7.739121701,0.368680952,-0.298758702,0.02435,0.00116,-0.00094,0,1,6,0.7365474,-1.40E-06,1.30E-06,1880.057222,2314082889,0.015478815,0.3,2.3,5448.370778,0.39,1,83.59,-0.44,0.47,0.05,-0.03,0.03,0,86,-33.4,30.7,7063.2096,0.0006,-0.0004,0,7063.577874,6020.413103,1,0.0375,0.000494,-0.000494,1,2004,K-VH-SN,Transit,6,15,24
AU Mic,0.5,-0.03,0.03,3588,-87,87,0.7,-0.02,0.02,9.7221,-0.004625,0.004625,4.39,-0.03,0.03,Gaia DR2 6794047652729201024,4.831,5.436,4.529,8.81,7.84038,4.449,4.008,4.313,4.14,0,,,,,0.022,-0.003,0.003,M1,311.2911369,-31.34245,AU Mic b,4.068860005,0.168134711,-0.168134711,0.363,0.015,-0.015,11.69926365,4.999440836,-4.999440836,0.03681,0.01573,-0.01573,0,1,5.8,8.4629991,,,586.8677302,9650967306,0.064554965,0.1,2.3,12190.14485,0.18,1,89.5,-0.3,0.3,0.186,-0.035,0.036,0,88.528,-0.218,0.218,8330.39046,,,0,8334.62196,17758.81266,1,0.287229,0.021705,-0.021705,2,2020,M-W-N,Transit,1,1,1
AU Mic,0.5,-0.03,0.03,3700,-100,100,0.75,-0.03,0.03,9.7221,-0.004625,0.004625,4.39,-0.03,0.03,Gaia DR2 6794047652729201024,4.831,5.436,4.529,8.81,7.84038,4.449,4.008,4.313,4.14,0,,,,,0.022,-0.003,0.003,M1,311.2911369,-31.34245,AU Mic c,3.239395431,0.15692573,-0.15692573,0.289,0.014,-0.014,22.2003142,6.699822811,-6.699822811,0.06985,0.02108,-0.02108,0,1,8.5,18.858991,,,479.5932681,16465197715,0.110135102,0.1,2.3,16357.64246,0.3,1,89.39,-0.38,0.4,0.041,-0.026,0.047,0,153,-94,124,8342.2243,,,0,8351.653795,16978.14177,1,,,,2,2021,M-T-SN,Transit,10,17,25
CoRoT-11,1.27,-0.05,0.05,6440,-120,120,1.37,-0.03,0.03,655.037,-23.209,24.947,4.22,-0.23,0.23,Gaia DR2 4285511294172309504,11.416,11.589,11.248,12.897,12.841,11.173,11.265,11.47,9.198,0,-0.03,-0.08,0.08,[Fe/H],2,-1,1,F6 V,280.6872998,5.9376586,CoRoT-11 b,16.02884245,0.336269422,-0.336269422,1.43,0.03,-0.03,832.7104253,187.5187599,-197.0536121,2.62,0.59,-0.62,0,1,334,2.99433,-1.10E-05,1.10E-05,1675.07684,6587171861,0.04406135,0.3,2.3,8905.291201,0.818,1,83.17,-0.15,0.15,0,,,0,,,,4597.679,0.0003,-0.0003,0,4599.176165,0,1,1.1449,0.010725,-0.010675,1,2010,F-VH-MJ,Eclipse,2,11,23
CoRoT-1,0.95,-0.15,0.15,5950,-150,150,1.11,-0.05,0.05,787.909,-23.491,23.491,4.25,-0.3,0.3,Gaia DR2 3105507886130792448,12.218,12.462,12.149,13.623,13.457,12.098,12.136,12.29,9.091,0,-0.3,-0.25,0.25,[M/H],1.6,-0.5,0.5,G0 V,102.0798591,-3.1021394,CoRoT-1 b,16.70138129,0.896718458,-0.896718458,1.49,0.08,-0.08,390.9289401,31.78284066,-31.78284066,1.23,0.1,-0.1,0,1,190,1.5089557,-6.40E-06,6.40E-06,1837.334012,3786664617,0.02532886,0.3,2.3,9236.164852,0.35,1,85.1,-0.5,0.5,0,,,0,,,,4159.4532,0.0001,-0.0001,0,4160.207678,0,1,1.92654,0.058737,-0.057855,1,2008,G-VH-MJ,Eclipse,1,9,18
CoRoT-2,0.96,-0.08,0.08,5625,-120,120,0.91,-0.03,0.03,213.283,-2.43,2.485,4.53,-0.02,0.02,Gaia DR2 4287820848378092672,10.438,10.783,10.31,12.516,12.2489,10.064,10.098,10.189,9.035,0,0.04,-0.05,0.05,[Fe/H],2.7,-2.7,3.2,,291.7770457,1.3836634,CoRoT-2 b,16.43236575,0.470777191,-0.493195152,1.466,0.042,-0.044,1052.012026,50.85254506,-50.85254506,3.31,0.16,-0.16,0,1,0,1.7429935,-1.00E-06,1.00E-06,1496.310943,4183298959,0.027981933,0.3,2.3,8340.735748,0.221,1,88.08,-0.16,0.18,0.0143,-0.0076,0.0077,0,102,-5,17,4237.53556,0.0002,-0.00021,0,4238.407057,8577.378045,1,2.75,0.012,-0.012,1,2008,G-H-MJ,Eclipse,1,0,1
CoRoT-35,1.01,-0.06,0.07,6390,-130,130,1.65,-0.11,0.1,1123.21,-50.92,55.9,4.01,-0.05,0.05,Gaia DR2 4213081309275729792,13.054,13.43,12.935,15.635,15.2625,12.781,12.815,12.327,8.895001,0,-0.5,-0.1,0.1,[Fe/H],6.1,-1.3,1.3,F6 V,289.3143526,-2.7747085,CoRoT-35 b,18.83108763,1.23298788,-1.23298788,1.68,0.11,-0.11,349.6112473,117.5965104,-117.5965104,1.1,0.37,-0.37,0,1,150,3.22748,-8.00E-05,8.00E-05,1848.234922,6415750664,0.04291472,0.3,2.3,14995.66583,0.58,1,84.1,-0.1,0.1,0,,,0,,,,6074.2415,0.0018,-0.0018,0,6075.85524,0,1,1.257,0.034,-0.034,1,2022,F-VH-MJ,Eclipse,2,15,30
DS Tuc A,1.01,-0.06,0.06,5428,-80,80,0.96,-0.03,0.03,44.0622,-0.0691,0.0693,4.6,-0.15,0.15,Gaia DR2 6387058411482257536,6.759,7.122,6.676,8.17,8.31926,6.767,6.65,6.728,6.589,0,0,,,,0.045,-0.004,0.004,G6 V,354.9154673,-69.196043,DS Tuc A b,5.705371192,0.168134711,-0.168134711,0.509,0.015,-0.015,27.79890392,0,0,0.087465133,0,0,1,0,0,8.138268,-1.10E-05,1.10E-05,879.83315,11885745570,0.079503315,0.3,2.3,13070.42363,0.18,1,89.5,-0.41,0.34,0,,,0,,,,8332.30997,0.00026,-0.00026,0,8336.379104,0,1,0.2936,0.0026,-0.0026,2,2019,G-W-N,Transit,1,2,4
EPIC 246851721,1.32,-0.04,0.04,6202,-50,52,1.59,-0.03,0.03,372.632,-17.644,19.456,4.16,-0.02,0.02,Gaia DR2 3393939026234131584,9.967,10.199,9.893,11.237,11.2549,9.813,9.816,9.754,8.609,0,0.141,-0.085,0.082,[Fe/H],3.02,-0.46,0.44,F5 V,78.9198197,16.2786991,EPIC 246851721 b,11.78063875,0.493195152,-0.493195152,1.051,0.044,-0.044,953.4852198,349.6112473,-381.3940879,3,1.1,-1.2,0,1,270,6.180235,-1.40E-05,1.40E-05,1356.194867,10816645993,0.072352147,0.3,2.3,14781.29807,0.647,1,86.21,-0.17,0.17,0,,,0,,,,7865.11032,0.0001,-0.0001,0,7868.200437,0,1,0.464,0.035,-0.035,1,2018,F-H-J,Eclipse,2,18,35
GJ 1214,0.18,-0.01,0.01,3250,-100,100,0.21,-0.01,0.01,14.6427,-0.0372,0.0372,5.03,-0.04,0.04,Gaia DR2 4393265392167891712,9.094,9.75,8.782,15.1,13.0089,8.598,8.442,8.254,8.084,0,0.29,-0.12,0.12,[Fe/H],3,,,M4 V,258.8313991,4.9606795,GJ 1214 b,2.746200279,0.044835923,-0.056044904,0.245,0.004,-0.005,8.171368334,0.429068349,-0.429068349,0.02571,0.00135,-0.00135,0,1,14.36,1.58040433,-1.30E-07,1.30E-07,603.9487151,2243025902,0.015003518,0.1,2.3,3035.292692,0.325,1,88.7,-0.1,0.1,0,,,1,0,,,5701.413328,6.60E-05,-5.90E-05,0,5702.20353,0,1,,,,1,2009,M-W-SN,Transit,1,1,3
GJ 1132,0.18,-0.02,0.02,3270,-140,140,0.21,-0.01,0.01,12.613,-0.007,0.007,4.88,-0.07,0.07,Gaia DR2 5413438219396893568,8.666,9.245,8.322,13.68,12.138,8.17,8,7.862,7.916,0,-0.12,-0.15,0.15,[Fe/H],5,,,M4.5 V,153.7090696,-47.1549358,GJ 1132 b,1.132107054,0.056044904,-0.056044904,0.101,0.005,-0.005,1.659064282,0.228836453,-0.228836453,0.00522,0.00072,-0.00072,0,1,2.85,1.628931,-2.70E-05,2.70E-05,601.5701719,2288709157,0.015309091,0.1,2.3,2798.280616,0.38,1,86.58,-0.63,0.63,0,,,1,,,,7184.55759,0.0003,-0.0003,0,7185.372055,0,1,0.251212,0.009733,-0.009733,1,2015,M-W-ESE,Transit,1,8,16
GJ 1252,0.38,-0.02,0.02,3458,-137,137,0.39,-0.02,0.02,20.373,-0.0192,0.0192,4.89,-0.1,0.1,Gaia DR2 6468968316900356736,8.161,8.697,7.915,12.68,11.2364,,,,,0,0.1,-0.1,0.1,[Fe/H],3.9,-0.4,0.4,M3,306.9286462,-56.4622865,GJ 1252 b,1.176942977,0.078462865,-0.078462865,0.105,0.007,-0.007,1.318987887,0.279688998,-0.279688998,0.00415,0.00088,-0.00088,0,1,0,0.5182416,-6.90E-07,6.90E-07,1052.943399,1368298003,0.009152495,0.3,2.3,2665.459138,0.42,1,84.8,-3.2,3.2,0,,,0,,,,8668.09748,0.00032,-0.00032,0,8668.356601,0,1,0.079726,0.004729,-0.004729,2,2020,M-H-ESE,Transit,1,11,22
GJ 3090,0.52,-0.01,0.01,3556,-70,70,0.52,-0.02,0.02,22.4751,-0.02605,0.02605,4.73,-0.03,0.03,Gaia DR2 4933912198893332224,7.536,8.168,7.294,11.403,10.5521,7.053,7.113,7.045,6.941,0,-0.06,-0.12,0.12,[Fe/H],,,,M2 V,20.4384281,-46.7147234,GJ 3090 b,2.129706339,0.112089807,-0.112089807,0.19,0.01,-0.01,3.340376553,0.721470483,-0.721470483,0.01051,0.00227,-0.00227,0,1,2.38,2.853136,-3.80E-05,6.40E-05,715.5894296,4736389505,0.031681535,0.1,2.3,4937.821612,0.631,1,87.14,-0.3,0.79,0,,,1,137,-57,73,8370.41849,0.00034,-0.00034,0,8371.845058,0,1,0.158724,0.005527,-0.005527,2,2022,M-W-SN,Transit,1,5,10
GJ 3470,0.54,-0.04,0.05,3600,-100,100,0.55,-0.02,0.02,29.4214,-0.0507,0.0508,4.7,-0.05,0.05,Gaia DR2 654687847820642560,8.206,8.794,7.989,12.332,11.3537,7.807,7.783,7.683,7.786,0,0.2,-0.1,0.1,[Fe/H],1.65,-1.35,1.35,M1.5,119.7735021,15.391209,GJ 3470 b,4.573264138,0.179343692,-0.179343692,0.408,0.016,-0.016,12.57964833,1.309453035,-1.280848479,0.03958,0.00412,-0.00403,0,1,8.21,3.3366496,-3.30E-06,3.90E-06,702.7322631,5323978594,0.035611897,0.1,2.3,6592.825576,0.4,1,89.13,-0.34,0.26,0.017,-0.012,0.016,0,1.7,-1.2,0.96,5983.70421,,,0,5985.372535,6599.4788,1,0.653,1.50E-05,-1.50E-05,1,2012,M-W-N,Transit,1,1,2
GJ 357,0.34,-0.01,0.01,3505,-51,51,0.34,-0.02,0.02,9.44181,-0.00511,0.00511,4.94,-0.07,0.07,Gaia DR2 5664814198431308288,6.74,7.337,6.475,10.91,9.88036,,,,,0,-0.12,-0.16,0.16,[Fe/H],,,,M2.5 V,144.0074644,-21.6650634,GJ 357 b,1.2217789,0.078462865,-0.078462865,0.109,0.007,-0.007,1.840226474,0.311471838,-0.311471838,0.00579,0.00098,-0.00098,0,1,1.52,3.93072,-6.00E-05,8.00E-05,550.172442,5089858291,0.034045875,0.1,2.3,4900.301349,0.34,1,89.12,-0.31,0.37,0,,,0,,,,8517.99862,0.00039,-0.00038,0,8519.96398,0,1,0.112796,0.005678,-0.005678,2,2019,M-W-ESE,Transit,1,7,13
GJ 367,0.45,-0.01,0.01,3522,-70,70,0.46,-0.01,0.01,9.41263,-0.002835,0.002835,4.78,-0.03,0.03,Gaia DR2 5412250540681250560,6.045,6.632,5.78,10.153,9.15159,,,,,0,-0.01,-0.12,0.12,[Fe/H],,,,M1.0 V,146.121464,-45.7790165,GJ 367 b,0.717374767,0.056044904,-0.056044904,0.064,0.005,-0.005,0.546664859,0.079457102,-0.079457102,0.00172,0.00025,-0.00025,0,1,0.798,0.321962,-1.20E-05,1.00E-05,1327.049329,1053995028,0.007050134,0.3,2.3,2316.901399,0.55,1,80.75,-0.64,0.64,0,,,0,,,,8544.1348,0.0004,-0.0004,0,8544.295781,0,1,0.0212,0.0042,-0.0042,2,2021,M-H-ESE,Transit,2,11,21
GJ 486,0.32,-0.02,0.02,3340,-54,54,0.33,-0.01,0.01,8.07426,-0.004095,0.004095,4.89,,,Gaia DR2 3735000631158990976,6.666,7.195,6.362,11.39,10.094,,,,,0,0.07,-0.16,0.16,[Fe/H],,,,M3.5 V,191.981531,9.7494181,GJ 486 b,1.300241765,0.067253884,-0.067253884,0.116,0.006,-0.006,2.819137966,0.111239942,-0.120774795,0.00887,0.00035,-0.00038,0,1,3.37,1.467119,-3.00E-05,3.10E-05,680.5276106,2585779771,0.017296186,0.3,2.3,3540.050625,0.314569323,1,88.4,-1.4,1.1,0,,,1,,,,8931.15935,0.00042,-0.00042,0,8931.892909,0,1,0.155063,0.004627,-0.004627,1,2021,M-W-ESE,Transit,1,8,15
GJ 436,0.47,-0.07,0.07,3586.11,-36.37,36.37,0.46,-0.02,0.02,9.75321,-0.00896,0.00898,4.79,-0.04,0.05,Gaia DR2 4017860992519744384,6.319,6.9,6.073,10.67,9.57148,6.017,5.69,5.76,5.58,0,0.099,-0.078,0.078,[Fe/H],6,-5,4,M2.5 V,175.5505363,26.7030669,GJ 436 b,4.169740832,0.168134711,-0.168134711,0.372,0.015,-0.015,25.40084626,2.100845768,-1.999140677,0.07992,0.00661,-0.00629,0,1,17.59,2.64388312,-5.70E-07,5.70E-07,708.0229527,4352700318,0.029115052,0.1,2.3,4248.748378,0.736,1,86.44,-0.16,0.17,0.13827,-0.00018,0.00018,0,351,-0.03,0.03,4510.80162,7.00E-05,-7.00E-05,0,4512.123562,4068.837389,1,0.6819,0.0028,-0.0028,1,2004,M-W-N,Transit,1,1,2
GJ 9827,0.61,-0.01,0.02,4340,-53,40,0.6,0,0.01,29.661,-0.0541,0.0543,4.66,-0.01,0.02,Gaia DR2 2643842302456085888,7.379,7.984,7.193,10.37,9.83773,6.99,7.155,7.114,6.957,0,-0.26,-0.09,0.09,[m/H],10,,,K6 V,351.7717763,-1.2853435,GJ 9827 d,2.017616532,0.044835923,-0.044835923,0.18,0.004,-0.004,4.039599048,0.819997289,-0.839066993,0.01271,0.00258,-0.00264,0,1,1.97,6.2014698,-6.11E-05,6.26E-05,705.2136539,8381807458,0.056065602,0.1,2.3,4376.932468,0.8927,1,87.443,-0.045,0.045,0,,,0,,,,7740.96115,0.00044,-0.00045,0,7744.061885,0,1,0.0957,0.0041,-0.0036,1,2017,K-W-SN,Transit,2,19,38
GPX-1,1.68,-0.1,0.1,7000,-200,200,1.56,-0.1,0.1,655.013,-16.269,17.102,4.27,-0.05,0.05,Gaia DR2 457317534880081152,11.221,11.357,11.181,12.316,12.2228,11.1,11.108,10.845,8.371,0,0.35,-0.1,0.1,[Fe/H],0.27,-0.15,0.09,F2,38.3691648,56.025708,GPX-1 b,16.47720167,1.120898073,-1.120898073,1.47,0.1,-0.1,6261.21961,508.5254506,-508.5254506,19.7,1.6,-1.6,0,1,2310,1.744579,-8.00E-06,8.00E-06,2220.24552,5044229458,0.033740665,0.3,2.3,7547.589876,0.82,1,79.9,-0.6,0.7,0,,,0,,,,8770.23823,0.0004,-0.0004,0,8771.110519,0,1,0.9,0.03,-0.03,1,2021,F-VH-MJ,Eclipse,1,5,10
Gaia-1,0.95,-0.07,0.07,5470,-110,110,0.95,-0.03,0.03,363.66,-3.008,3.058,4.44,-0.09,0.07,Gaia-1,11.368,11.711,11.269,13.242,12.9988,11.213,11.248,11.156,8.994,0,,,,,,,,,90.6436658,-0.5771099,Gaia-1 b,13.77583732,0.235388595,-0.235388595,1.229,0.021,-0.021,533.9517231,34.96112473,-34.96112473,1.68,0.11,-0.11,0,1,243,3.052524,-1.70E-05,1.70E-05,1235.562132,6056827984,0.0405139,0.3,2.3,8293.591382,0.682531432,1,85.73,-0.41,0.47,0,,,0,,,,8468.68524,0.00057,-0.00057,0,8470.211502,0,1,,,,1,2022,G-H-J,Eclipse,1,9,20
Gaia-2,1,-0.1,0.1,5720,-84,84,1.06,-0.03,0.03,209.229,-1.121,1.134,4.37,-0.07,0.07,Gaia-2,9.818,10.128,9.742,11.277,11.1968,9.716,9.769,9.704001,9.006,0,,,,,,,,,110.7353308,67.2526565,Gaia-2 b,14.81827253,0.14571675,-0.14571675,1.322,0.013,-0.013,259.6658082,14.93793511,-14.93793511,0.817,0.047,-0.047,0,1,107.1,3.6915224,-3.90E-06,3.90E-06,1270.095028,6993613892,0.046780026,0.3,2.3,8605.672369,0.792137415,1,85.21,-0.25,0.25,0,,,0,,,,8843.98875,0.00019,-0.00019,0,8845.834511,0,1,1.631602,0.010898,-0.010898,1,2022,G-H-J,Eclipse,1,2,4
HAT-P-1,1.15,-0.05,0.05,5980,-49,49,1.17,-0.03,0.03,158.979,-0.965,0.977,4.36,-0.01,0.01,Gaia DR2 1928431764627661440,8.923,9.156,8.858,9.827,10.1786,8.732,8.751,8.624,8.37,0,0.13,-0.008,0.008,[Fe/H],3.6,0,0,G0 V,344.4453632,38.674919,HAT-P-1 b,14.78464558,0.212970634,-0.212970634,1.319,0.019,-0.019,166.8599135,8.263538571,-8.263538571,0.525,0.026,-0.026,0,1,59.5,4.46529976,-5.50E-07,5.50E-07,1279.135913,8318231558,0.055640345,0.3,2.3,9933.862987,0.7501,1,85.634,-0.056,0.056,0,,,0,253.1,-2,2,3979.93202,0.00024,-0.00024,0,3982.16467,0,1,1.476,0.024861,-0.024861,1,2006,G-H-J,Eclipse,1,1,2
HAT-P-11,0.81,-0.03,0.02,4780,-50,50,0.68,-0.01,0.01,37.7647,-0.0336,0.0337,4.66,-0.01,0.01,Gaia DR2 2086512227851023872,7.131,7.608,7.009,9.46,9.15098,6.919,7.001,6.97,6.867,0,0.31,-0.05,0.05,[Fe/H],6.5,-4.1,5.9,K4,297.7101763,48.0818635,HAT-P-11 b,4.360293504,0.056044904,-0.056044904,0.389,0.005,-0.005,28.60455659,3.178284066,-3.178284066,0.09,0.01,-0.01,0,1,11.6,4.88780244,,,801.8369381,7860836235,0.052580844,0.3,2.3,8565.858294,0.026,1,89.36,-0.36,0.36,0.218,-0.031,0.034,0,19,-16,14,5109.335119,2.10E-05,-2.10E-05,0,5111.77902,9874.652481,1,0.43421,0.00022,-0.00022,1,2008,K-W-N,Transit,1,7,13
HAT-P-12,0.73,-0.02,0.02,4650,-60,60,0.7,-0.01,0.02,142.751,-0.45,0.453,4.61,-0.01,0.01,Gaia DR2 1499514786891168640,10.236,10.794,10.108,12.665,12.4197,10.077,10.139,10.018,8.49,0,-0.29,-0.05,0.05,[Fe/H],2.5,-2,2,K4,209.3886452,43.49331,HAT-P-12 b,10.74941252,0.325060441,-0.235388595,0.959,0.029,-0.021,67.06179379,3.813940879,-3.813940879,0.211,0.012,-0.012,0,1,0,3.2130598,-2.10E-06,2.10E-06,926.1137178,5740523144,0.038398148,0.3,2.3,8413.686696,0.211,1,89,-0.4,0.4,0,,,0,354.3,-2.1,2.1,4419.19556,0.0002,-0.0002,0,4420.80209,0,1,1.977,0.037,-0.036,1,2009,K-W-J,Transit,1,2,4
HAT-P-13,1.32,-0.06,0.06,5653,-90,90,1.76,-0.05,0.05,246.81,-2.188,2.228,4.13,-0.04,0.04,Gaia DR2 1014520826353577088,9.058,9.328,8.975,10.421,10.4168,8.962,9.007,8.935,8.925,0,0.46,-0.07,0.07,[Fe/H],5,-0.7,2.5,G4,129.8823772,47.3519076,HAT-P-13 b,14.25782349,0.728583748,-0.728583748,1.272,0.065,-0.065,280.642483,8.581366978,-14.93793511,0.883,0.027,-0.047,0,1,105.7,2.91625,-1.50E-05,1.50E-05,1670.5283,6556002715,0.043852861,0.3,2.3,12515.76622,0.679,1,83.4,-0.68,0.68,0.0133,-0.0041,0.0041,0,210,-36,27,4779.92976,0.00075,-0.00075,0,4781.387885,12350.40618,1,0.72577,0.004628,-0.004628,1,2009,G-VH-J,Eclipse,1,2,3
HAT-P-14,2.65,-0.73,0.73,6600,-90,90,1.82,-0.15,0.15,222.663,-1.244,1.257,4.25,-0.03,0.03,Gaia DR2 1340497608486742400,8.927,9.094,8.851,9.988,9.87283,8.805,8.82,8.775,8.761,0,0.11,,,[Fe/H],1.6,-0.3,0.4,F5 V,260.1161719,38.2421682,HAT-P-14 b,15.91675264,1.345077688,-1.345077688,1.42,0.12,-0.12,731.9588204,17.16273396,-17.16273396,2.303,0.054,-0.054,0,1,225.8,4.62767,-5.00E-06,5.00E-06,1513.934016,11251787606,0.075262793,0.3,2.3,8399.179489,0.9072,1,83.5,-0.3,0.3,0.11,-0.01,0.01,0,106.1,-2.5,2.6,7138.21636,0.00018,-0.00018,0,7140.530195,10384.32773,1,0.65,0.024,-0.024,1,2010,F-VH-J,Eclipse,1,3,5
HAT-P-15,1,-0.23,0.23,5568,-90,90,1.07,-0.07,0.07,192.516,-2.01,2.053,4.38,-0.03,0.03,Gaia DR2 179498266829041664,9.752,10.194,9.641,12.41,11.7232,9.601,9.647,9.66,8.441,0,0.22,,,[Fe/H],6.8,-1.6,2.5,G5,66.248142,39.460602,HAT-P-15 b,11.88151957,0.784628651,-0.784628651,1.06,0.07,-0.07,619.4475645,25.42627253,-24.79061571,1.949,0.08,-0.078,0,1,181.2,10.8635,-2.70E-05,2.70E-05,866.8094079,14361875545,0.096066057,0.3,2.3,16221.41574,0.342,1,89.1,-0.2,0.2,0.19,-0.02,0.02,0,262,-1,1,4638.56097,0.00039,-0.00039,0,4643.99272,11083.89588,1,1,0.018,-0.018,1,2010,G-W-J,Eclipse,3,19,36
HAT-P-16,1.22,-0.04,0.04,6158,-80,80,1.24,-0.05,0.05,226.637,-4.305,4.471,4.34,-0.03,0.03,Gaia DR2 381592313648387200,9.623,9.85,9.553001,10.911,10.7568,9.506,9.531,9.505,8.681,0,0.17,-0.08,0.08,[Fe/H],2,-0.8,0.8,F8,9.5730343,42.4630961,HAT-P-16 b,14.44837616,0.739792728,-0.739792728,1.289,0.066,-0.066,1341.553704,29.24021341,-29.24021341,4.221,0.092,-0.092,0,1,534.6,2.77596,-3.00E-06,3.00E-06,1573.289259,6179595657,0.041335088,0.3,2.3,10861.15286,0.439,1,86.6,-0.7,0.7,0.036,-0.004,0.004,0,214,-8,8,5027.59293,0.00031,-0.00031,0,5028.98091,10432.49168,1,1.147,0.03,-0.029,1,2010,F-VH-J,Eclipse,1,1,2
HAT-P-17,0.99,-0.15,0.15,5246,-80,80,0.87,-0.04,0.04,92.3831,-0.4802,0.4851,4.53,-0.02,0.02,Gaia DR2 1849786481031300608,8.619,9.017,8.544,10.375,10.2743,8.506,8.579001,8.489,8.065,0,0,,,[Fe/H],7.8,-3.3,3.3,K,324.5359781,30.4881882,HAT-P-17 b,11.76942977,0.448359229,-0.448359229,1.05,0.04,-0.04,170.6738543,5.403082912,-5.403082912,0.537,0.017,-0.017,0,1,59.09,10.33852,-9.00E-06,9.00E-06,749.9258887,13848900431,0.092634785,0.3,2.3,13422.31492,0.311,1,89.2,-0.15,0.15,0.35,-0.01,0.01,0,201,-1,1,6569.05972,5.00E-05,-5.00E-05,0,6574.22898,10430.48702,1,1.5,0.022,-0.022,1,2010,K-W-J,Transit,1,4,8
HAT-P-20,0.76,-0.03,0.03,4595,-80,80,0.69,-0.02,0.02,71.0374,-0.1983,0.1994,4.63,-0.02,0.02,Gaia DR2 869913435026514688,8.743,9.276,8.601,11.231,10.9903,8.559,8.648,8.515,8.063,0,0.35,-0.08,0.08,[Fe/H],6.7,-3.8,5.7,K3,111.9164295,24.3361185,HAT-P-20 b,9.718186294,0.369896364,-0.369896364,0.867,0.033,-0.033,2310.612516,57.20911319,-57.20911319,7.27,0.18,-0.18,0,1,1249.7,2.875317,-4.00E-06,4.00E-06,936.5586416,5402892567,0.03613975,0.3,2.3,6583.486313,0.631,1,86.8,-0.2,0.2,0.015,-0.005,0.005,0,317,-130,130,5080.92661,0.00021,-0.00021,0,5082.364268,6450.152509,1,0.9898,,,1,2010,K-W-J,Eclipse,1,3,5
HAT-P-18,0.77,-0.03,0.03,4803,-80,80,0.75,-0.04,0.04,161.4,-0.605,0.61,4.57,-0.04,0.04,Gaia DR2 1334573817793362560,10.34,10.822,10.234,12.597,12.3682,10.195,10.253,10.154,8.915,0,0.1,-0.08,0.08,[Fe/H],12.4,-6.4,4.4,K2,256.346376,33.0123251,HAT-P-18 b,11.15293583,0.582866998,-0.582866998,0.995,0.052,-0.052,63.56568132,6.038739725,-6.038739725,0.2,0.019,-0.019,0,1,27.5,5.508023,-6.00E-06,6.00E-06,820.0089758,8369998592,0.055986613,0.3,2.3,10289.08194,0.324,1,88.8,-0.3,0.3,0.084,-0.048,0.048,0,120,-56,56,4715.02174,0.0002,-0.0002,0,4717.775752,11903.50698,1,2.158476,0.019381,-0.019381,1,2010,K-W-J,Transit,1,2,4
