Star Name,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star W4 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Name,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Flag,Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,Type,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations
TOI-270,0.39,-0.01,0.01,3506,-70,70,0.38,-0.01,0.01,22.4793,-0.01355,0.01355,4.87,-0.03,0.03,Gaia DR2 4781196115469953024,8.531,9.099,8.251,12.603,11.6306,8.13,7.983,7.887,7.691,0,-0.2,-0.12,0.12,[Fe/H],,,,M,68.4160804,-51.9573937,TOI-270 d,2.129706339,0.056044904,-0.056044904,0.19,0.005,-0.005,4.780139235,0.429068349,-0.429068349,0.01504,0.00135,-0.00135,0,1,2.56,11.379573,-1.30E-05,1.30E-05,398.9876882,10822730056,0.072392843,0.1,2.3,7903.45277,0.19,1,89.73,-0.16,0.16,0.032,-0.023,0.023,0,-6,-90,90,8389.68186,0.00059,-0.00059,0,8395.371646,0,1,0.314705,0.007618,-0.007618,2,2019,M-T-SN,Transit,1,12,23
TOI-270,0.39,-0.01,0.01,3506,-70,70,0.38,-0.01,0.01,22.4793,-0.01355,0.01355,4.87,-0.03,0.03,Gaia DR2 4781196115469953024,8.531,9.099,8.251,12.603,11.6306,8.13,7.983,7.887,7.691,0,-0.2,-0.12,0.12,[Fe/H],,,,M,68.4160804,-51.9573937,TOI-270 c,2.353885953,0.067253884,-0.067253884,0.21,0.006,-0.006,6.149979668,0.368680952,-0.368680952,0.01935,0.00116,-0.00116,0,1,4.16,5.6605731,-3.10E-06,3.10E-06,503.5562789,6794535691,0.045448399,0.1,2.3,6172.005981,0.28,1,89.36,-0.24,0.24,0.027,-0.021,0.021,0,10,-90,90,8389.50285,0.00029,-0.00029,0,8392.333137,6230.153516,1,0.385611,0.00661,-0.00661,2,2019,M-W-SN,Transit,1,8,17
TOI-2803 A,1.12,-0.05,0.06,6280,-96,99,1.25,-0.02,0.02,494.818,-6.477,6.647,4.3,-0.02,0.01,Gaia DR2 2913482170369046656,11.355,11.607,11.282,12.537,12.4272,11.201,11.243,11.255,9.224,0,-0.105,-0.072,0.068,[Fe/H],3.7,-1.3,1.5,,93.1147397,-23.4924956,TOI-2803 A b,18.11371286,0.381105345,-0.358687383,1.616,0.034,-0.032,309.8826964,26.37975775,-22.24798846,0.975,0.083,-0.07,0,1,146.7,1.96229325,-8.20E-07,8.20E-07,1834.338298,4765918309,0.031879052,0.3,2.3,11190.30999,0.097,1,89,-1,0.7,0,,,0,,,,9207.6864,0.00022,-0.00023,0,9208.667547,0,1,1.781,0.034,-0.034,2,2023,F-VH-MJ,Eclipse,1,2,3
TOI-277,0.16,-0.01,0.01,4031,-23,21,0.36,0,0.01,64.6692,-0.13825,0.13825,4.58,-0.13,0.1,Gaia DR2 2353440974955205632,9.767,10.403,9.557,13.632,12.7896,,,,,0,-0.01,-0.09,0.07,[Fe/H],,,,,19.0766985,-20.9532772,TOI-277 b,2.645319453,0.179343692,-0.179343692,0.236,0.016,-0.016,7.568755754,0,0,0.023813969,0,0,1,0,0,3.994,-0.0004,0.0004,689.5997917,4001382002,0.026765097,0.3,2.3,6910.623688,0.36,1,88.9,-0.4,0.5,0,,,0,,,,9119.8264,0.0017,-0.0017,0,9121.8234,0,1,0.58019,0.025611,-0.025611,2,2022,K-W-SN,Transit,1,17,34
TOI-3023,1.12,-0.06,0.11,5760,-88,85,1.67,-0.03,0.05,389.916,-3.146,3.196,4.05,-0.02,0.02,Gaia DR2 5227928170880093568,10.312,10.68,10.243,12.252,12.0336,10.159,10.189,9.986,8.586,0,0.085,-0.083,0.084,[Fe/H],7,-2.2,1.7,,165.3158231,-72.3567044,TOI-3023 b,16.43236575,0.481986171,-0.358687383,1.466,0.043,-0.032,197.0536121,31.78284066,-28.60455659,0.62,0.1,-0.09,0,1,74,3.9014971,-3.10E-06,3.10E-06,1546.522975,7535721615,0.050406165,0.3,2.3,17984.31847,0.13,1,88.9,-1,0.8,0,,,0,,,,9071.1922,0.0003,-0.0003,0,9073.142949,0,1,0.815,0.012,-0.012,2,2023,G-VH-MJ,Eclipse,1,2,5
TOI-2842,1.14,-0.08,0.08,5910,-100,100,1.27,-0.04,0.04,460.995,-7.473,7.719,4.29,-0.04,0.04,Gaia DR2 3046327742219111808,11.152,11.41,11.062,12.59,12.4636,11.05,11.101,11.247,8.807,0,0.233,-0.09,0.087,[Fe/H],4.7,-2.3,3,,108.0442066,-10.63934,TOI-2842 b,12.84549192,0.571658017,-0.538031075,1.146,0.051,-0.048,117.5965104,16.52707714,-14.93793511,0.37,0.052,-0.047,0,1,45.2,3.5514058,-7.80E-06,7.70E-06,1423.620358,7119778182,0.047623934,0.3,2.3,9223.297988,0.785,1,84.42,-0.35,0.34,0,,,0,,,,9172.17909,0.00077,-0.00077,0,9173.954793,0,1,0.867,0.037,-0.036,2,2023,G-H-J,Eclipse,2,17,34
TOI-2977,0.94,-0.04,0.06,5691,-93,94,1.07,-0.02,0.02,318.3994541,,,4.35,-0.01,0.01,Gaia DR2 5305241494923209856,10.776,11.128,10.666,12.6334,12.4443,10.61,10.651,10.641,8.832,0,0.013,-0.085,0.087,[Fe/H],9.8,-3,2.6,,143.9265177,-60.3574758,TOI-2977 b,13.15934338,0.347478403,-0.30264248,1.174,0.031,-0.027,533.9517231,82.63538571,-79.45710165,1.68,0.26,-0.25,0,1,266,2.3505614,-2.50E-06,2.50E-06,1491.046048,5070549161,0.033916717,0.3,2.3,10563.43739,0.097,1,89.19,-0.82,0.57,0,,,0,,,,9373.83677,0.00029,-0.00029,0,9375.012051,0,1,1.265,0.034,-0.033,2,2023,G-H-J,Eclipse,1,3,6
TOI-2818,0.98,-0.05,0.06,5721,-83,88,1.23,-0.03,0.03,312.674,-2.233,2.265,4.25,-0.03,0.03,Gaia DR2 5545555570947605376,10.454,10.743,10.403,11.937,11.8367,10.329,10.374,10.199,8.699,0,-0.02,-0.09,0.11,[Fe/H],9.5,-2.8,2.6,,119.0598183,-35.1167104,TOI-2818 b,15.27784074,0.515613114,-0.504404133,1.363,0.046,-0.045,225.6581687,82.63538571,-82.63538571,0.71,0.26,-0.26,0,1,91,4.039709,-2.30E-06,2.40E-06,1332.373196,7376891451,0.049343756,0.3,2.3,13699.56007,0.34,1,87.73,-0.55,0.75,0,,,0,,,,9023.44641,0.00025,-0.00025,0,9025.466264,0,1,1.3,0.03,-0.03,2,2023,G-H-J,Eclipse,1,3,6
TOI-3364,1.19,-0.08,0.06,5706,-91,95,1.42,-0.03,0.04,277.899,-2.461,2.505,4.21,-0.03,0.02,Gaia DR2 5409268527708808320,9.876,10.156,9.783,11.875,11.2945,9.691,9.729,9.593,8.689,0,0.387,-0.081,0.072,[Fe/H],5.4,-1.5,2.4,,144.5377709,-49.3352226,TOI-3364 b,12.22899798,0.425941268,-0.358687383,1.091,0.038,-0.032,530.773439,38.13940879,-41.31769286,1.67,0.12,-0.13,0,1,168,5.8768918,-6.90E-06,6.90E-06,1219.994777,10104436452,0.067588204,0.3,2.3,16715.45881,0.22,1,88.79,-0.68,0.75,0,,,0,,,,9090.99481,0.0004,-0.00041,0,9093.933256,0,1,0.624,0.024,-0.022,2,2023,G-H-J,Eclipse,1,9,18
TOI-3331 A,1.02,-0.05,0.05,5609,-87,92,0.95,-0.03,0.03,217.193,-2.681,2.748,4.49,-0.02,0.02,Gaia DR2 4042548116644168832,10.068,10.348,9.914,11.635,11.8314,9.565,9.653,9.895001,8.306,0,0.148,-0.084,0.084,[Fe/H],2.1,-1.5,2.7,,271.3241672,-34.107171,TOI-3331 A b,12.97999969,0.481986171,-0.481986171,1.158,0.043,-0.043,721.470483,50.85254506,-50.85254506,2.27,0.16,-0.16,0,1,360,2.0180231,-4.40E-06,4.30E-06,1437.234367,4706688528,0.031482866,0.3,2.3,7586.287264,0.569,1,85.4,-0.36,0.38,0,-0.052,0.048,0,,,,9371.653,0.0002,-0.0002,0,9372.662012,0,1,1.559,0.033,-0.033,2,2022,G-H-J,Eclipse,1,2,4
