pl_name	pl_orbsmax	pl_eqt	pl_orbper	pl_masse	pl_masseerr1	pl_masseerr2	pl_rade	pl_radeerr1	pl_radeerr2	st_rad	st_mass	st_teff	st_spectype	sy_jmag	sy_vmag	sy_kmag	sy_dist	sy_pnum	hostname	disc_year	TSM	td_perc	sig_prim_ppm	sig_seco_ppm	ARIEL	JWST
K2-285 c	0.0824	741.4	7.138048	15.68	2.28	-2.13	3.53	0.08	-0.08	0.79	0.83	4975.0	K2 V	10.477	12.075	9.971	154.961	4	K2-285	2018	34.0	0.16781619494682817	186.0	15.0		
TOI-178 c	0.037	873.0	3.23845	4.77	0.55	-0.68	1.669	0.114	-0.099	0.65	0.65	4316.0	K	9.372	11.955	8.656	62.699	6	TOI-178	2021	34.0	0.055414650894914305	113.0	9.0		
HD 95338 b	0.262	385.0	55.087	42.44	2.22	-2.08	3.89	0.19	-0.2	0.87	0.83	5212.0	K0.5 V	7.099	8.62	6.591	36.9941	1	HD 95338	2020	34.0	0.16803484082436174	39.0	3.0		
TOI-1260 c	0.0657	651.0	7.493134	13.2	4.23	-4.23	2.76	0.07	-0.07	0.67	0.68	4227.0		9.698	11.922	8.95	73.5977	3	TOI-1260	2021	34.0	0.14262879078091034	129.0	10.0		
TOI-1266 b	0.0736	413.0	10.894843	13.5	11.0	-9.0	2.37	0.16	-0.12	0.42	0.45	3600.0	M3	9.706	12.941	8.84	36.0118	2	TOI-1266	2020	33.0	0.267631206998788	129.0	10.0		
HD 80653 b	0.01661	2463.0	0.719573	5.72	0.36	-0.35	1.613	0.071	-0.071	1.22	1.18	5959.0		8.315	9.452	8.018	109.86	2	HD 80653	2020	33.0	0.014692229882699762	68.0	5.0		
LHS 1140 c	0.02734	708.9	3.77792	1.76	0.17	-0.16	1.169	0.037	-0.038	0.21	0.19	2988.0		9.612001	14.15	8.821	14.9861	2	LHS 1140	2018	33.0	0.2604528261977039	816.0	65.0		True
TOI-763 b	0.06	1038.0	5.6057	9.79	0.78	-0.78	2.28	0.11	-0.11	0.9	0.92	5450.0	G	8.858	10.265	8.49	95.1274	2	TOI-763	2020	33.0	0.053941536954280805	87.0	7.0		
K2-199 c	0.0662	694.0	7.3744897	12.4	2.3	-2.3	2.85	0.1	-0.09	0.68	0.71	4491.0		10.277	12.358	9.625	107.518	2	K2-199	2018	32.0	0.14764220957560903	157.0	13.0		
K2-285 b	0.03817	1088.9	3.471745	9.68	1.21	-1.37	2.59	0.06	-0.06	0.79	0.83	4975.0	K2 V	10.477	12.075	9.971	154.961	4	K2-285	2018	32.0	0.09034081144402233	175.0	14.0		
TOI-178 f	0.1039	521.0	15.231915	7.72	1.67	-1.52	2.287	0.108	-0.11	0.65	0.65	4316.0	K	9.372	11.955	8.656	62.699	6	TOI-178	2021	32.0	0.10405052059049577	107.0	9.0		
TOI-908 b	0.041657	1317.0	3.183792	16.137	4.112	-4.039	3.186	0.155	-0.155	1.03	0.95	5626.0	G V	10.04	11.316	9.637	175.748	1	TOI-908	2023	31.0	0.0804184568239142	139.0	11.0		
K2-138 e	0.0782	856.5328824321039	8.26146	12.97	1.98	-1.99	3.39	0.156	-0.11	0.86	0.94	5356.3		10.756	12.246	10.305	202.585	6	K2-138	2017	31.0	0.13059938608282812	194.0	16.0		
TOI-561 d	0.158	598.0	25.7124	13.2	1.0	-0.9	2.82	0.07	-0.07	0.84	0.81	5372.0	G9 V	8.879	10.252	8.394	85.799	4	TOI-561	2020	31.0	0.09472798209586968	81.0	6.0		
Kepler-102 e	0.1162	590.0	16.1456994	4.7	1.8	-1.8	2.17	0.11	-0.11	0.72	0.8	4909.0		9.984	12.072	9.351	107.796	5	Kepler-102	2013	31.0	0.07634720038978728	138.0	11.0		
KOI-55 b	0.006	7720.093141355127	0.240104	0.44			0.759			0.2	0.5	27730.0	B	15.356	15.154	15.495	1231.02	2	KOI-55	2011	31.0	0.12104927759324419	10723.0	858.0		
HD 15337 b	0.0522	1001.0	4.75615	7.51	1.09	-1.01	1.64	0.06	-0.06	0.86	0.9	5125.0	K1 V	7.553	9.1	7.044	44.8155	2	HD 15337	2019	31.0	0.03056535435719969	44.0	4.0		True
CoRoT-24 b	0.056	1070.0	5.1134	5.7			3.7	0.4	-0.4	0.86	0.91	4950.0	K1 V	13.595	15.383	12.924	591.555	2	CoRoT-24	2014	31.0	0.15557692636453885	719.0	58.0		
K2-3 c	0.1357	371.8	24.646729	2.68	0.85	-0.85	1.582	0.057	-0.051	0.55	0.55	3844.0	M V	9.421	12.168	8.561	44.0727	3	K2-3	2015	30.0	0.06953864450168777	102.0	8.0		
LTT 1445 A b	0.03813	424.0	5.3587657	2.87	0.26	-0.25	1.305	0.066	-0.061	0.27	0.26	3340.0		7.294	10.59	6.496	6.86929	2	LTT 1445 A	2019	30.0	0.19635055652073302	252.0	20.0	True	True
TOI-2000 b	0.04271	1488.0	3.09833	11.0	2.4	-2.4	2.7	0.15	-0.15	1.13	1.08	5611.0		9.715	10.984	9.303001	175.713	2	TOI-2000	2023	30.0	0.04798541806325608	117.0	9.0		
GJ 357 b	0.035	525.0	3.93072	1.84	0.31	-0.31	1.217	0.084	-0.083	0.34	0.34	3505.0	M2.5 V	7.337	10.91	6.475	9.44181	3	GJ 357	2019	29.0	0.10768667407233207	249.0	20.0	True	True
HIP 97166 b	0.089	757.0	10.28891	20.0	1.5	-1.5	2.74	0.13	-0.13	0.84	0.9	5198.0	K0 V	8.386	9.92	7.923	65.9501	2	HIP 97166	2021	29.0	0.08942958080365061	62.0	5.0		
TOI-1075 b	0.01159	1323.0	0.6047328	9.95	1.36	-1.3	1.791	0.116	-0.081	0.58	0.6	3875.0	K9 V/M0 V	9.935	12.615	9.115	61.4592	1	TOI-1075	2022	29.0	0.08014451887465991	127.0	10.0		
HD 260655 b	0.02933	709.0	2.76953	2.14	0.34	-0.34	1.24	0.023	-0.023	0.44	0.44	3803.0	M0 V	6.674	9.63	5.862	10.0055	2	HD 260655	2022	29.0	0.06675390231416044	182.0	15.0	True	True
K2-136 c	0.1185	470.0	17.30713	18.1	1.9	-1.8	3.0	0.13	-0.13	0.68	0.74	4500.0		9.096	11.101	8.368	59.2474	3	K2-136	2017	29.0	0.16359247598405435	85.0	7.0		
TRAPPIST-1 b	0.01154	399.0043849364852	1.510826	1.374	0.069	-0.069	1.116	0.014	-0.012	0.12	0.09	2566.0		11.354	17.02	10.296		7	TRAPPIST-1	2016	29.0	0.7269499962012071	1567.0	125.0	True	True
KOI-55 c	0.0076	6859.482762716063	0.342887	0.655			0.867			0.2	0.5	27730.0	B	15.356	15.154	15.495	1231.02	2	KOI-55	2011	28.0	0.15794898707783828	9540.0	763.0		
GJ 1132 b	0.0153	529.0	1.628931	1.66	0.23	-0.23	1.13	0.056	-0.056	0.21	0.18	3270.0		9.245	13.68	8.322	12.613	2	GJ 1132	2015	28.0	0.2433643384904501	583.0	47.0	True	True
TOI-125 d	0.137	638.1	19.98	13.6	1.2	-1.2	2.93	0.17	-0.17	0.85	0.86	5320.0	K0 V	9.466	11.023	8.995	111.059	3	TOI-125	2020	27.0	0.09987022556981397	91.0	7.0		
K2-222 b	0.1206	871.0	15.38857	8.7	1.7	-1.7	2.35	0.08	-0.07	1.11	0.99	5942.0		8.423	9.543	8.105	101.321	1	K2-222	2018	27.0	0.037672844109225	59.0	5.0		
TOI-2196 b	0.02234	1860.0	1.1947268	26.0	1.3	-1.3	3.51	0.15	-0.15	1.04	1.03	5634.0	G V	10.743	12.297	10.346	259.947	1	TOI-2196	2022	26.0	0.09573840675776824	160.0	13.0		
K2-138 c	0.04461	1134.0476557368056	3.56004	6.31	1.13	-1.23	2.299	0.12	-0.087	0.86	0.94	5356.3		10.756	12.246	10.305	202.585	6	K2-138	2017	26.0	0.060064751072612124	165.0	13.0		
Kepler-68 b	0.06135	1275.0	5.39875259	8.03	0.67	-0.67	2.357	0.023	-0.023	1.26	1.06	5847.0		8.975	10.077	8.588	144.166	4	Kepler-68	2013	26.0	0.029411468985268863	73.0	6.0		
TRAPPIST-1 d	0.02227	287.22382692124984	4.049219	0.388	0.012	-0.012	0.788	0.011	-0.01	0.12	0.09	2566.0		11.354	17.02	10.296		7	TRAPPIST-1	2016	26.0	0.3624337097747029	1406.0	113.0	True	True
TOI-1246 e	0.211	462.0	37.9216	14.8	2.3	-2.3	3.78	0.16	-0.16	0.86	0.87	5151.0	K V	10.294	11.632	9.907	169.422	4	TOI-1246	2022	25.0	0.16237730859511157	127.0	10.0		
Kepler-11 c	0.107	859.4901486665213	13.0241	2.9	2.9	-1.6	2.87	0.05	-0.06	1.06	0.96	5663.0		12.548	13.817	12.18	646.346	6	Kepler-11	2010	25.0	0.06161560319768263	349.0	28.0		
K2-285 d	0.1178	619.9	10.45582	6.5			2.48	0.06	-0.06	0.79	0.83	4975.0	K2 V	10.477	12.075	9.971	154.961	4	K2-285	2018	24.0	0.08283003036706592	130.0	10.0		
K2-291 b	0.03261	1398.357547667609	2.225177	6.49	1.16	-1.16	1.589	0.095	-0.072	0.9	0.93	5520.0		8.765	10.014	8.353	90.0562	1	K2-291	2019	24.0	0.026200007584668297	60.0	5.0		
HD 106315 b	0.0907	1153.0	9.55237	12.6	3.2	-3.2	2.44	0.17	-0.17	1.3	1.09	6327.0	F5 V	8.116	8.951	7.853	109.353	2	HD 106315	2017	24.0	0.02960953516795735	44.0	4.0		
TRAPPIST-1 c	0.0158	340.99815515585306	2.421937	1.308	0.056	-0.056	1.097	0.014	-0.012	0.12	0.09	2566.0		11.354	17.02	10.296		7	TRAPPIST-1	2016	24.0	0.7024079276815066	1336.0	107.0	True	True
TOI-1246 c	0.061	860.0	5.904144	8.8	1.2	-1.2	2.51	0.08	-0.08	0.86	0.87	5151.0	K V	10.294	11.632	9.907	169.422	4	TOI-1246	2022	23.0	0.07159606967050626	117.0	9.0		
LHS 1678 b	0.01251	864.3448324446312	0.8602322	0.35			0.696	0.044	-0.044	0.33	0.34	3490.0	M2.0 V	9.020001	12.6	8.264	19.8782	2	LHS 1678	2021	23.0	0.03738774233254288	427.0	34.0	True	
Kepler-138 c	0.0913	410.0	13.7815	2.3	0.6	-0.5	1.51	0.04	-0.04	0.54	0.54	3841.0		10.293	13.04	9.506	66.8624	4	Kepler-138	2014	23.0	0.0657211291559025	118.0	9.0		
K2-131 b	0.00936	2223.0	0.3693038	7.9	1.3	-1.3	1.69	0.085	-0.058	0.76	0.8	5120.0		10.57	12.129	10.051	152.509	1	K2-131	2017	23.0	0.04156089258854377	131.0	11.0		
NGTS-4 b	0.019	1650.0	1.3373508	20.6	3.0	-3.0	3.18	0.26	-0.26	0.84	0.75	5143.0		11.584	13.138	11.073	280.555	1	NGTS-4	2019	23.0	0.12045762865880395	204.0	16.0		
K2-136 d	0.1538	420.0	25.575	3.0			1.565	0.077	-0.076	0.68	0.74	4500.0		9.096	11.101	8.368	59.2474	3	K2-136	2017	22.0	0.0445194202213384	65.0	5.0		
Kepler-1655 b	0.1029	938.0	11.8728787	5.4	1.7	-1.7	2.213	0.082	-0.082	1.03	1.03	6148.0		10.065	11.045	9.785	213.26	1	Kepler-1655	2018	22.0	0.038799579598801474	99.0	8.0		
Kepler-138 d	0.1288	345.0	23.0923	2.1	0.6	-0.7	1.51	0.04	-0.04	0.54	0.54	3841.0		10.293	13.04	9.506	66.8624	4	Kepler-138	2014	21.0	0.0657211291559025	108.0	9.0		
Kepler-454 b	0.09528	916.0	10.5737534	5.4	1.4	-1.4	2.37	0.13	-0.13	1.07	1.03	5687.0		10.357	11.567	9.968	230.869	3	Kepler-454	2015	21.0	0.041235168935790205	110.0	9.0		
TOI-849 b	0.01598	1966.1666393643045	0.76552414	39.09	2.66	-2.55	3.444	0.157	-0.115	0.92	0.93	5373.8	G	10.832	11.981	10.418	225.734	1	TOI-849	2020	21.0	0.11778480638492358	136.0	11.0		
K2-266 e	0.1249	490.1	19.482	14.3	6.4	-5.0	2.73	0.14	-0.11	0.7	0.69	4285.0		9.611	11.625	8.897	77.5586	4	K2-266	2018	21.0	0.12784032191259523	80.0	6.0		
K2-138 d	0.05893	986.6865229008125	5.40479	7.92	1.39	-1.35	2.39	0.104	-0.084	0.86	0.94	5356.3		10.756	12.246	10.305	202.585	6	K2-138	2017	20.0	0.06491387590116013	129.0	10.0		
K2-290 b	0.0923	1230.0	9.21165	10.9			3.06	0.16	-0.16	1.51	1.19	6302.0		9.771	11.114	9.42	272.909	2	K2-290	2019	20.0	0.03451656742914163	79.0	6.0		
K2-38 c	0.0959	949.0	10.56103	7.4	1.4	-1.3	2.49	0.22	-0.22	1.14	1.05	5705.0		9.911	11.344	9.47	192.69	2	K2-38	2016	20.0	0.0400984544018036	85.0	7.0		
TRAPPIST-1 e	0.02925	250.62110338432987	6.101013	0.692	0.022	-0.022	0.92	0.013	-0.012	0.12	0.09	2566.0		11.354	17.02	10.296		7	TRAPPIST-1	2017	20.0	0.494028273005792	1095.0	88.0	True	True
EPIC 220674823 c	0.1083	805.0	13.3397	8.9	2.4	-2.4	2.836	0.086	-0.073	0.99	0.95	5532.0		10.77	12.101	10.344	244.59	2	EPIC 220674823	2016	19.0	0.06897325238716764	118.0	9.0		
WASP-84 c	0.02359	1329.0	1.4468849	15.2	4.5	-4.2	1.95	0.12	-0.12	0.77	0.85		K0	9.346	10.825	8.855	100.588	2	WASP-84	2023	19.0	0.05390467275788296	61.0	5.0		
EPIC 229004835 b	0.1237	804.0	16.141132	10.4	1.6	-1.5	2.332	0.08	-0.094	1.0	0.97	5868.0		9.061	10.23	8.725	121.971	1	EPIC 229004835	2023	19.0	0.04570836994035511	55.0	4.0		
EPIC 249893012 d	0.22	752.0	35.747	10.18	2.46	-2.42	3.94	0.13	-0.12	1.71	1.05	5430.0	G8 IV/V	10.216	11.429	9.714	321.296	3	EPIC 249893012	2020	18.0	0.04462095534314594	86.0	7.0		
K2-12 b	0.0792	1026.0	8.28246	5.2			2.44	0.3	-0.14	1.12	0.96	5672.0		10.983	12.38	10.605	326.381	1	K2-12	2015	18.0	0.039891672858615994	128.0	10.0		
LHS 1478 b	0.01848	595.0	1.9495378	2.33	0.2	-0.2	1.242	0.051	-0.049	0.25	0.24	3381.0	m3 V	9.615	13.304	8.767	18.2276	1	LHS 1478	2021	18.0	0.20744444794822411	438.0	35.0		True
Kepler-19 b	0.0846	851.0	9.28699	6.1	2.8	-2.7	2.209	0.048	-0.048	0.86	0.94	5541.0		10.719	12.035	10.318	218.562	3	Kepler-19	2011	18.0	0.05545403737176328	114.0	9.0		
K2-138 b	0.03385	1301.8713817554822	2.35309	3.1	1.05	-1.05	1.51	0.11	-0.084	0.86	0.94	5356.3		10.756	12.246	10.305	202.585	6	K2-138	2017	17.0	0.025911683696405036	109.0	9.0		
TRAPPIST-1 f	0.03849	218.47744956062536	9.20754	1.039	0.031	-0.031	1.045	0.013	-0.012	0.12	0.09	2566.0		11.354	17.02	10.296		7	TRAPPIST-1	2017	17.0	0.6373951144011698	932.0	75.0	True	True
TOI-1696 b	0.0229	489.0	2.500311	48.8			3.09	0.11	-0.11	0.28	0.26	3185.0	M5V	12.233	16.82	11.331	64.9172	1	TOI-1696	2022	17.0	1.0236218264481358	211.0	17.0		
K2-182 b	0.0526	969.0	4.7369683	20.0	5.0	-5.0	2.69	0.07	-0.05	0.79	0.86	5170.0		10.408	11.833	9.913	154.83	1	K2-182	2018	16.0	0.09745161009676212	84.0	7.0		
GJ 9827 c	0.03925	813.0	3.648096	1.3			1.241	0.024	-0.026	0.6	0.61	4305.0		7.984	10.37	7.193	29.661	3	GJ 9827	2017	16.0	0.03595668982604128	186.0	15.0		
TOI-561 e	0.328	415.0	77.03	12.6	1.4	-1.4	2.55	0.12	-0.13	0.84	0.81	5372.0	G9 V	8.879	10.252	8.394	85.799	4	TOI-561	2020	16.0	0.07745695684050004	43.0	3.0		
K2-265 b	0.03376	1422.944160129354	2.369172	6.54	0.84	-0.84	1.71	0.11	-0.11	0.98	0.92	5477.0	G8 V	9.726	11.187	9.259	138.671	1	K2-265	2018	16.0	0.0255904964335633	63.0	5.0		
K2-110 b	0.10207	638.0	13.86375	15.9	2.7	-2.7	2.592	0.098	-0.097	0.71	0.74	5010.0		10.184	11.985	9.607	116.474	1	K2-110	2017	16.0	0.1120190637323823	78.0	6.0		
K2-199 b	0.0382	913.0	3.2253993	6.9	1.8	-1.8	1.73	0.05	-0.04	0.68	0.71	4491.0		10.277	12.358	9.625	107.518	2	K2-199	2018	16.0	0.054401769041408476	83.0	7.0		
TRAPPIST-1 h	0.06189	172.29407053118038	18.772866	0.326	0.02	-0.02	0.755	0.014	-0.014	0.12	0.09	2566.0		11.354	17.02	10.296		7	TRAPPIST-1	2017	16.0	0.33271321635175644	883.0	71.0	True	True
TOI-431 b	0.0113	1862.0	0.490047	3.07	0.35	-0.35	1.28	0.04	-0.04	0.73	0.78	4850.0		7.305	9.12	6.723	32.5686	3	TOI-431	2021	16.0	0.025841210902694246	133.0	11.0		
TOI-500 b	0.01189	1617.0	0.548177	1.42	0.18	-0.18	1.166	0.061	-0.058	0.68	0.74	4440.0	K6 V	8.403	10.54	7.715	47.3924	4	TOI-500	2022	15.0	0.02471257025321967	218.0	17.0		
Kepler-20 c	0.0936	828.0	10.8540774	11.1	2.1	-2.1	2.894	0.036	-0.033	0.92	0.93	5495.0		11.252	12.61	10.871	282.563	6	Kepler-20	2011	15.0	0.08316872436906905	119.0	10.0		
TRAPPIST-1 g	0.04683	198.06990532618875	12.352446	1.321	0.038	-0.038	1.129	0.015	-0.013	0.12	0.09	2566.0		11.354	17.02	10.296		7	TRAPPIST-1	2017	15.0	0.7439847494475139	838.0	67.0	True	True
TOI-561 b	0.0106	2310.0	0.4465688	2.0	0.23	-0.23	1.425	0.037	-0.037	0.84	0.81	5372.0	G9 V	8.879	10.252	8.394	85.799	4	TOI-561	2020	15.0	0.02418854794067519	265.0	21.0		True
GJ 3473 b	0.01589	773.0	1.1980035	1.86	0.3	-0.3	1.264	0.05	-0.049	0.36	0.36	3347.0		9.627	13.74	8.829001	27.3644	2	GJ 3473	2020	15.0	0.10361623026520977	362.0	29.0		True
Kepler-21 b	0.0434	2015.0	2.7858212	7.5	1.3	-1.3	1.639	0.019	-0.015	1.9	1.41	6305.0		7.229	8.25	6.945	108.522	1	Kepler-21	2012	15.0	0.006254453193619241	18.0	1.0		
Kepler-11 f	0.25	562.2931433871961	46.6888	2.0	0.8	-0.9	2.49	0.04	-0.07	1.06	0.96	5663.0		12.548	13.817	12.18	646.346	6	Kepler-11	2010	15.0	0.046379451175315015	216.0	17.0		
K2-216 b	0.028	1103.0	2.1748	8.0	1.6	-1.6	1.75	0.17	-0.1	0.72	0.7	4503.0	K5 V	10.394	12.403	9.721	115.461	1	K2-216	2018	15.0	0.049653486205636886	80.0	6.0		
Kepler-79 c	0.187	784.9659091289848	27.4029	5.9	1.9	-2.3	3.72	0.08	-0.08	1.3	1.17	6174.0		12.913	14.036	12.606	1020.72	4	Kepler-79	2012	14.0	0.06882366827940423	227.0	18.0		
Kepler-109 b	0.0701	1276.0	6.4816307	4.9			2.49	0.11	-0.11	1.39	1.09	5950.0		11.314	12.398	11.001	474.861	2	Kepler-109	2014	14.0	0.02697166365125199	116.0	9.0		
Kepler-80 b	0.0648	709.1793873022002	7.05246	6.93	1.05	-0.7	2.67	0.1	-0.1	0.68	0.73	4540.0	K5	12.954	15.23	12.253	369.451	6	Kepler-80	2012	14.0	0.12958160022696943	236.0	19.0		
GJ 3929 b	0.0252	568.0	2.616235	1.75	0.44	-0.45	1.09	0.04	-0.04	0.32	0.31	3384.0		8.694	12.675	7.869	15.8095	2	GJ 3929	2022	14.0	0.0975195482415162	230.0	18.0		
Kepler-80 c	0.0792	641.4768918369627	9.52355	6.74	1.23	-0.86	2.74	0.12	-0.1	0.68	0.73	4540.0	K5	12.954	15.23	12.253	369.451	6	Kepler-80	2012	14.0	0.13646520807754295	237.0	19.0		
TOI-1749 d	0.0707	533.0	9.0497	15.0			2.52	0.15	-0.15	0.55	0.58	3985.0	M0 V	11.069	13.86	10.27	99.5561	3	TOI-1749	2021	14.0	0.1764470265372921	105.0	8.0		
Kepler-411 d	0.279	410.0	58.02035	15.2	5.1	-5.1	3.319	0.104	-0.104	0.82	0.87		K2 V	10.641	12.448	10.062	153.676	4	Kepler-411	2018	14.0	0.1376973053781084	82.0	7.0		
LP 791-18 d	0.01992	395.5	2.753436	0.9	0.5	-0.4	1.032	0.044	-0.043	0.18	0.14	2960.0	M(6.1 +/- 0.7) V	11.559	16.91	10.644	26.4927	3	LP 791-18	2023	14.0	0.2762822765331447	833.0	67.0		
Kepler-103 b	0.13223	973.0	15.9653287	9.8	3.9	-3.9	3.486	0.057	-0.054	1.49	1.21	6009.0		11.193	11.883	10.873	494.832	2	Kepler-103	2014	14.0	0.046006677459368726	106.0	8.0		
K2-233 d	0.15224	523.0	24.3645	21.14			2.358	0.043	-0.036	0.71	0.79	5033.0		8.968	10.883	8.375	67.5062	3	K2-233	2018	13.0	0.09270636346023399	36.0	3.0		
TOI-270 b	0.03197	581.0	3.3601538	1.58	0.26	-0.26	1.206	0.039	-0.039	0.38	0.39	3506.0	M	9.099	12.603	8.251	22.4793	3	TOI-270	2019	13.0	0.08465762175401595	250.0	20.0		True
EPIC 220674823 b	0.01326	2300.0	0.571292	8.21	0.76	-0.74	1.725	0.039	-0.039	0.99	0.95	5532.0		10.77	12.101	10.344	244.59	2	EPIC 220674823	2016	13.0	0.025517989308150416	82.0	7.0		
K2-111 b	0.0565	1309.0	5.3518	5.58	0.74	-0.73	1.82	0.11	-0.09	1.25	0.84	5775.0		9.768	11.13	9.377	200.394	2	K2-111	2017	13.0	0.01781809997857327	51.0	4.0		
EPIC 249893012 c	0.13	990.0	15.624	14.67	1.84	-1.89	3.67	0.17	-0.14	1.71	1.05	5430.0	G8 IV/V	10.216	11.429	9.714	321.296	3	EPIC 249893012	2020	13.0	0.03871493631769038	64.0	5.0		
HD 22946 d	0.2958	546.0	47.42489	26.57			2.607	0.06	-0.06	1.12	1.1	6169.0		7.25	8.270001	6.981	62.7792	3	HD 22946	2023	13.0	0.04553912256588751	16.0	1.0		
HD 23472 f	0.0906	630.0	12.1621839	0.77	0.44	-0.4	1.137	0.084	-0.077	0.71	0.67	4684.0	K4 V	7.865	9.73	7.207	39.0341	5	HD 23472	2022	12.0	0.02155474420972533	133.0	11.0		
TOI-1749 c	0.0443	673.0	4.4929	14.0			2.12	0.12	-0.12	0.55	0.58	3985.0	M0 V	11.069	13.86	10.27	99.5561	3	TOI-1749	2021	12.0	0.12487772676826746	85.0	7.0		
K2-292 b	0.13	795.0	16.9841	24.5	4.4	-4.4	2.63	0.11	-0.1	1.09	1.0	5725.0	G3 V	8.73	9.885	8.407	114.293	1	K2-292	2019	11.0	0.048932470461222934	28.0	2.0		
Kepler-79 e	0.386	546.358805406153	81.0659	4.1	1.2	-1.1	3.49	0.14	-0.14	1.3	1.17	6174.0		12.913	14.036	12.606	1020.72	4	Kepler-79	2014	11.0	0.06057630665466899	187.0	15.0		
LHS 1678 c	0.0331	531.375709479022	3.694247	1.4			0.982	0.064	-0.063	0.33	0.34	3490.0	M2.0 V	9.020001	12.6	8.264	19.8782	2	LHS 1678	2021	10.0	0.07442755242825813	185.0	15.0		
Kepler-138 b	0.0753	452.0	10.3134	0.07	0.02	-0.02	0.64	0.02	-0.02	0.54	0.54	3841.0		10.293	13.04	9.506	66.8624	4	Kepler-138	2014	10.0	0.011806225385841702	325.0	26.0		
Kepler-11 d	0.155	714.1130062151025	22.6845	7.3	0.8	-1.5	3.12	0.06	-0.07	1.06	0.96	5663.0		12.548	13.817	12.18	646.346	6	Kepler-11	2010	10.0	0.07281755609118988	148.0	12.0		
Kepler-11 b	0.091	931.9918099382131	10.3039	1.9	1.4	-1.0	1.8	0.03	-0.05	1.06	0.96	5663.0		12.548	13.817	12.18	646.346	6	Kepler-11	2010	10.0	0.024236612604316157	142.0	11.0		
TOI-1468 b		682.2	1.8805136	3.21	0.24	-0.24	1.28	0.038	-0.039	0.34	0.34	3496.0	M3.0 V	9.343	12.5	8.497	24.7399	2	TOI-1468	2022	10.0	0.1191244056232332	216.0	17.0		True
Kepler-411 b	0.0375	1138.0	3.005156	25.6	2.6	-2.6	2.401	0.053	-0.053	0.82	0.87		K2 V	10.641	12.448	10.062	153.676	4	Kepler-411	2013	9.0	0.07206016576984783	51.0	4.0		
L 168-9 b	0.02091	965.0	1.4015	4.6	0.56	-0.56	1.39	0.09	-0.09	0.6	0.62	3800.0	M1 V	7.941	11.005	7.082	25.1496	1	L 168-9	2020	8.0	0.04510926400163001	87.0	7.0		True
Kepler-289 d	0.33	502.80912453156066	66.0634	4.0	0.9	-0.9	2.68	0.17	-0.17	1.0	1.08	5990.0		12.861	14.142	12.508	704.438	3	Kepler-289	2014	8.0	0.06036820040138225	135.0	11.0		
Kepler-79 b	0.117	992.3815198868258	13.4845	10.9	7.4	-6.0	3.47	0.07	-0.07	1.3	1.17	6174.0		12.913	14.036	12.606	1020.72	4	Kepler-79	2012	8.0	0.05988401169105376	126.0	10.0		
K2-38 b	0.0503	1310.0	4.01593	7.7	1.2	-1.1	1.655	0.096	-0.096	1.14	1.05	5705.0		9.911	11.344	9.47	192.69	2	K2-38	2016	8.0	0.01771433832807537	33.0	3.0		
KOI-1833 d		613.0	7.685	11.02			2.58	0.23	-0.22	0.67	0.68	4413.0		12.518	14.626	11.831	290.324	3	Kepler-968	2021	8.0	0.12463167965685407	119.0	10.0		
Kepler-10 c	0.241	578.0	45.294301	11.4	1.3	-1.3	2.355	0.022	-0.022	1.06	0.91	5708.0		9.889	11.043	9.496	185.506	3	Kepler-10	2011	8.0	0.041486685005818674	33.0	3.0		
HD 219134 f	0.1463	522.6	22.717	7.3	0.4	-0.4	1.31	0.02	-0.02	0.78	0.81	4699.0		3.981	5.56911	3.261	6.53127	6	HD 219134	2015	8.0	0.0237078421747307	15.0	1.0		
K2-263 b	0.2573	470.0	50.818947	14.9	2.1	-2.1	2.41	0.12	-0.12	0.85	0.88	5368.0		10.216	11.568	9.748	162.481	1	K2-263	2018	7.0	0.06756703713870126	34.0	3.0		
HD 23472 d	0.04298	909.0	3.97664	0.55	0.21	-0.2	0.75	0.067	-0.057	0.71	0.67	4684.0	K4 V	7.865	9.73	7.207	39.0341	5	HD 23472	2022	7.0	0.009378739448401455	77.0	6.0		
Kepler-78 b	0.00901	2223.0	0.35500745	1.68	0.27	-0.27	1.201	0.028	-0.028	0.75	0.78	5058.0		10.184	11.717	9.586	124.376	1	Kepler-78	2013	7.0	0.02155272211756	228.0	18.0		
Kepler-109 c	0.1546	859.0	21.22265	8.2			2.65	0.12	-0.12	1.39	1.09	5950.0		11.314	12.398	11.001	474.861	2	Kepler-109	2014	7.0	0.030549266623266885	56.0	5.0		
Kepler-30 b	0.18	609.0649158476037	29.33434	11.3	1.4	-1.4	3.9	0.2	-0.2	0.95	0.99	5498.0		13.997	15.726	13.581	914.221	3	Kepler-30	2012	7.0	0.14165132621894208	198.0	16.0		
HD 28109 b	0.1357	881.2	22.89104	18.496	9.12	-7.609	2.199	0.098	-0.1	1.45	1.26	6120.0	F8/G0 V	8.476	9.42	8.175	139.611	3	HD 28109	2022	6.0	0.019330945470691096	13.0	1.0		
TOI-178 b	0.02607	1040.0	1.914558	1.5	0.39	-0.44	1.152	0.073	-0.07	0.65	0.65	4316.0	K	9.372	11.955	8.656	62.699	6	TOI-178	2021	6.0	0.026400787798667606	140.0	11.0		
Kepler-20 b	0.04565	1187.0	3.6961049	9.7	1.3	-1.3	1.773	0.053	-0.03	0.92	0.93	5495.0		11.252	12.61	10.871	282.563	6	Kepler-20	2011	6.0	0.03121623043782589	45.0	4.0		
