pl_name	pl_orbsmax	pl_eqt	pl_orbper	pl_masse	pl_masseerr1	pl_masseerr2	pl_rade	pl_radeerr1	pl_radeerr2	st_rad	st_mass	st_teff	st_spectype	sy_jmag	sy_vmag	sy_kmag	sy_dist	sy_pnum	hostname	disc_year	TSM	td_perc	sig_prim_ppm	sig_seco_ppm	ARIEL	JWST
TOI-270 d	0.0721	387.0	11.379573	4.78	0.43	-0.43	2.133	0.058	-0.058	0.38	0.39	3506.0	M	9.099	12.603	8.251	22.4793	3	TOI-270	2019	104.0	0.26482145000564283	304.0	24.0	True	True
TOI-836 c	0.075	665.0	8.59545	9.6	2.7	-2.5	2.587	0.088	-0.088	0.67	0.68	4552.0	K V	7.58	9.92	6.804	27.5024	2	TOI-836	2023	103.0	0.12530889304870385	149.0	12.0	True	True
TOI-1231 b	0.1288	329.6	24.245586	15.4	3.3	-3.3	3.65	0.16	-0.15	0.48	0.48	3553.0	M3 V	8.876	12.36	8.069	27.6227	1	TOI-1231	2021	97.0	0.4860062963078675	253.0	20.0	True	True
TOI-1201 b	0.0287	703.0	2.4919863	6.28	0.84	-0.88	2.415	0.091	-0.09	0.51	0.51	3476.0	M2.0 V	9.528	12.26	8.646	37.8871	1	TOI-1201	2021	95.0	0.18846580311034108	339.0	27.0		
Kepler-37 d	0.2109	499.0	39.7922622	2.0			2.03	0.03	-0.039	0.79	0.79	5357.0		8.356	9.770001	7.942	63.9207	4	Kepler-37	2013	90.0	0.055497898045597335	187.0	15.0		
LHS 1140 b	0.0957	378.9	24.73694	6.38	0.46	-0.44	1.635	0.046	-0.046	0.21	0.19	2988.0		9.612001	14.15	8.821	14.9861	2	LHS 1140	2017	89.0	0.50948988469037	329.0	26.0		True
HD 86226 c	0.049	1311.0	3.98442	7.25	1.19	-1.12	2.16	0.08	-0.08	1.05	1.02	5863.0	G1 V	6.839	7.93	6.463	45.683	2	HD 86226	2020	89.0	0.035568663408600334	92.0	7.0		
TOI-1422 b	0.108	867.0	12.9972	9.0	2.3	-2.0	3.96	0.13	-0.11	1.02	0.98	5840.0	G2 V	9.585	10.622	9.19	155.141	1	TOI-1422	2022	89.0	0.12668601340205174	321.0	26.0	True	
TOI-421 b	0.056	981.4	5.19672	7.17	0.66	-0.66	2.68	0.19	-0.18	0.87	0.85	5325.0	G9 V	8.547	9.931	8.071	74.7969	2	TOI-421	2020	86.0	0.07975716792361243	195.0	16.0		True
K2-36 c	0.05528	854.0	5.340888	7.9	2.8	-2.8	3.2	0.3	-0.3	0.72	0.79	4916.0		10.034	11.726	9.454001	109.749	2	K2-36	2016	86.0	0.16602504448839892	382.0	31.0		
HD 3167 b	0.01796	1774.0	0.959641	4.97	0.24	-0.23	1.67	0.17	-0.1	0.88	0.84	5261.0		7.548	8.97	7.066	47.2899	4	HD 3167	2016	84.0	0.030269569160373648	120.0	10.0		
TOI-1416 b	0.019	1517.0	1.0697568	3.48	0.47	-0.47	1.62	0.08	-0.08	0.79	0.8	4884.0	G9 V	8.266	9.91	7.708	55.0135	1	TOI-1416	2023	83.0	0.03534390148532255	166.0	13.0		
TOI-836 b	0.0422	871.0	3.81673	4.53	0.92	-0.86	1.704	0.067	-0.067	0.67	0.68	4552.0	K V	7.58	9.92	6.804	27.5024	2	TOI-836	2023	81.0	0.05436610467497687	118.0	9.0		True
TOI-1759 b	0.1177	443.0	18.85019	10.8	1.5	-1.5	3.14	0.1	-0.1	0.6	0.61	4065.0	M0.0 V	8.771	11.93	7.93	40.0654	1	TOI-1759	2022	80.0	0.23019476183969317	197.0	16.0	True	
