# %ECSV 1.0
# ---
# datatype:
# - {name: wavelength, datatype: float64}
# - {name: bin_width, datatype: float64}
# - {name: rp^2_value, datatype: float64}
# - {name: rp^2_errorneg, datatype: float64}
# - {name: rp^2_errorpos, datatype: float64}
# schema: astropy-2.0
wavelength bin_width rp^2_value rp^2_errorneg rp^2_errorpos
3.0075000000000003 0.007500000000000062 0.00767803728745548 8.946866900512267e-05 8.752386497697714e-05
3.023 0.008000000000000007 0.007653571120108651 8.731268001785711e-05 8.409533953810267e-05
3.0385 0.00749999999999984 0.0076222136602233275 8.881264528181991e-05 8.677238484196704e-05
3.0534999999999997 0.007500000000000062 0.007728833688271949 5.839620515134605e-05 7.24844609411076e-05
3.069 0.008000000000000007 0.007591399948887096 8.776472395132136e-05 8.217603776680682e-05
3.0845000000000002 0.007500000000000062 0.007561766259963054 8.782968514142037e-05 8.61211582846317e-05
3.0995 0.007500000000000062 0.007645870143409496 7.854145057090839e-05 8.654859746378297e-05
3.115 0.008000000000000007 0.007567211334741117 8.642216880517563e-05 8.60628340856838e-05
3.1305 0.00749999999999984 0.007662993774492604 8.826251559891814e-05 8.850873824066754e-05
3.1455 0.007500000000000062 0.0076626411024764704 7.927427669171018e-05 8.526280237419488e-05
3.161 0.008000000000000007 0.007620726237356408 8.289437377603445e-05 8.395926907487587e-05
3.1765 0.007500000000000062 0.007604744945387408 8.698734452942773e-05 8.874468295402144e-05
3.1915 0.00749999999999984 0.007619669994056354 8.632380079928292e-05 9.019926437158193e-05
3.207 0.008000000000000007 0.0077990506288819145 7.946459245675337e-05 7.99276108173182e-05
3.2225 0.007500000000000062 0.007654203290688279 7.758247787169326e-05 7.968705243192702e-05
3.2375 0.007500000000000062 0.007675287960632839 8.761939054508557e-05 7.92082309840703e-05
3.253 0.008000000000000007 0.0076619231124037766 7.984086817049672e-05 8.254838531093333e-05
3.2685 0.00749999999999984 0.007566460180258748 8.056659331651637e-05 8.688491148212997e-05
