	Target Name	Instrument	Type	pl_name	pl_orbper	pl_orbsmax	pl_rade	pl_bmasse	pl_eqt	st_teff
81	TRAPPIST-1 c	NIRSpec / BOTS	Transit	TRAPPIST-1 c	2.421937	0.0158	1.097	1.308	339.7	2566.0
82	TRAPPIST-1 c	NIRISS / SOSS	Transit	TRAPPIST-1 c	2.421937	0.0158	1.097	1.308	339.7	2566.0
83	TRAPPIST-1 d	NIRSpec / BOTS	Transit	TRAPPIST-1 d	4.049219	0.02227	0.788	0.388	286.2	2566.0
84	TRAPPIST-1 e	NIRSpec / BOTS	Transit	TRAPPIST-1 e	6.101013	0.02925	0.92	0.692	249.7	2566.0
85	TRAPPIST-1 f	NIRISS / SOSS	Transit	TRAPPIST-1 f	9.20754	0.03849	1.045	1.039	217.7	2566.0
86	TRAPPIST-1 g	NIRSpec / BOTS	Transit	TRAPPIST-1 g	12.352446	0.04683	1.129	1.321	197.3	2566.0
87	TRAPPIST-1 h	NIRSpec / BOTS	Transit	TRAPPIST-1 h	18.772866	0.06189	0.755	0.326	171.7	2566.0
88	V1298 Tau b	NIRSpec / BOTS	Transit	V1298 Tau b	24.1396	0.1688	10.27	203.41018	677.0	5050.0
89	V1298 Tau c	NIRSpec / BOTS	Transit	V1298 Tau c	8.24958	0.0825	5.59	76.27882	968.0	5050.0
90	WASP-107 b	NIRISS / SOSS	Transit	WASP-107 b	5.7214742	0.055	10.536	30.5	736.0	4425.0
91	WASP-107 b	NIRCam / GTS	Transit	WASP-107 b	5.7214742	0.055	10.536	30.5	736.0	4425.0
92	WASP-107 b	NIRSpec / BOTS	Transit	WASP-107 b	5.7214742	0.055	10.536	30.5	736.0	4425.0
93	WASP-107 b	NIRSpec / BOTS	Eclipse	WASP-107 b	5.7214742	0.055	10.536	30.5	736.0	4425.0
94	WASP-107 b	MIRI / LRS	Transit	WASP-107 b	5.7214742	0.055	10.536	30.5	736.0	4425.0
95	WASP-107 b	NIRCam / GTS	Transit	WASP-107 b	5.7214742	0.055	10.536	30.5	736.0	4425.0
96	WASP-121 b	NIRISS / SOSS	Phase Curve	WASP-121 b	1.27492504	0.02596	19.649	367.72747	2720.0	6776.0
97	WASP-121 b	NIRSpec / BOTS	Phase Curve	WASP-121 b	1.27492504	0.02596	19.649	367.72747	2720.0	6776.0
98	WASP-127 b	NIRISS / SOSS	Transit	WASP-127 b	4.17806203	0.0484	14.695	52.3466	1400.0	5620.0
99	WASP-127 b	NIRSpec / BOTS	Transit	WASP-127 b	4.17806203	0.0484	14.695	52.3466	1400.0	5620.0
100	WASP-166 b	NIRSpec / BOTS	Transit	WASP-166 b	5.44354	0.0641	7.062	32.10083	1270.0	6050.0
101	WASP-166 b	NIRISS / SOSS	Transit	WASP-166 b	5.44354	0.0641	7.062	32.10083	1270.0	6050.0
102	WASP-17 b	NIRSpec / BOTS	Eclipse	WASP-17 b	3.73543	0.0515	20.961	247.9074	1755.0	6550.0
103	WASP-17 b	NIRSpec / BOTS	Transit	WASP-17 b	3.73543	0.0515	20.961	247.9074	1755.0	6550.0
104	WASP-17 b	MIRI / LRS	Eclipse	WASP-17 b	3.73543	0.0515	20.961	247.9074	1755.0	6550.0
105	WASP-17 b	NIRISS / SOSS	Eclipse	WASP-17 b	3.73543	0.0515	20.961	247.9074	1755.0	6550.0
106	WASP-17 b	MIRI / LRS	Transit	WASP-17 b	3.73543	0.0515	20.961	247.9074	1755.0	6550.0
107	WASP-17 b	NIRISS / SOSS	Transit	WASP-17 b	3.73543	0.0515	20.961	247.9074	1755.0	6550.0
108	WASP-178 b	NIRSpec / BOTS	Transit	WASP-178 b	3.3448285	0.0558	20.288	527.5978	2470.0	9360.0
109	WASP-18 b	NIRISS / SOSS	Eclipse	WASP-18 b	0.94145223	0.02024	13.899	3241.84975	2429.0	6432.0
110	WASP-19 b	NIRSpec / BOTS	Eclipse	WASP-19 b	0.78883852	0.01652	15.861	366.77398	2113.0	5616.0
111	WASP-39 b	MIRI / LRS	Transit	WASP-39 b	4.055259	0.0486	14.235	88.989	1166.0	5400.0
112	WASP-39 b	NIRSpec / BOTS	Transit	WASP-39 b	4.055259	0.0486	14.235	88.989	1166.0	5400.0
113	WASP-39 b	NIRISS / SOSS	Transit	WASP-39 b	4.055259	0.0486	14.235	88.989	1166.0	5400.0
114	WASP-39 b	NIRCam / GTS	Transit	WASP-39 b	4.055259	0.0486	14.235	88.989	1166.0	5400.0
115	WASP-39 b	NIRSpec / BOTS	Transit	WASP-39 b	4.055259	0.0486	14.235	88.989	1166.0	5400.0
116	WASP-43 b	NIRSpec / BOTS	Phase Curve	WASP-43 b	0.813475	0.0142	10.424	565.714	1426.7	4400.0
117	WASP-43 b	MIRI / LRS	Phase Curve	WASP-43 b	0.813475	0.0142	10.424	565.714	1426.7	4400.0
118	WASP-52 b	NIRSpec / BOTS	Eclipse	WASP-52 b	1.7497798	0.0272	14.24	146.2	1315.0	5000.0
119	WASP-52 b	NIRISS / SOSS	Transit	WASP-52 b	1.7497798	0.0272	14.24	146.2	1315.0	5000.0
120	WASP-63 b	NIRISS / SOSS	Transit	WASP-63 b	4.37808	0.0574	15.805	117.5971	1469.90841337	5550.0
121	WASP-69 b	NIRCam / GTS	Eclipse	WASP-69 b	3.86814	0.04525	12.442	92.1707	963.0	4700.0
122	WASP-69 b	MIRI / LRS	Eclipse	WASP-69 b	3.86814	0.04525	12.442	92.1707	963.0	4700.0
123	WASP-69 b	NIRCam / GTS	Eclipse	WASP-69 b	3.86814	0.04525	12.442	92.1707	963.0	4700.0
124	WASP-77 A b	NIRSpec / BOTS	Eclipse	WASP-77 A b	1.36002854	0.02335	13.787	529.81995	1715.0	5617.0
125	WASP-80 b	NIRISS / SOSS	Eclipse	WASP-80 b	3.06785234	0.0344	11.198	170.99254	825.0	4143.0
126	WASP-80 b	NIRCam / GTS	Transit	WASP-80 b	3.06785234	0.0344	11.198	170.99254	825.0	4143.0
127	WASP-80 b	NIRCam / GTS	Eclipse	WASP-80 b	3.06785234	0.0344	11.198	170.99254	825.0	4143.0
128	WASP-80 b	NIRCam / GTS	Transit	WASP-80 b	3.06785234	0.0344	11.198	170.99254	825.0	4143.0
129	WASP-80 b	NIRCam / GTS	Eclipse	WASP-80 b	3.06785234	0.0344	11.198	170.99254	825.0	4143.0
130	WASP-80 b	MIRI / LRS	Transit	WASP-80 b	3.06785234	0.0344	11.198	170.99254	825.0	4143.0
131	WASP-80 b	MIRI / LRS	Eclipse	WASP-80 b	3.06785234	0.0344	11.198	170.99254	825.0	4143.0
132	WASP-96 b	NIRISS / SOSS	Transit	WASP-96 b	3.4252602	0.0453	13.45	152.55	1285.0	5540.0
133	WD 1856+534 b	NIRSpec / BOTS	Transit	WD 1856+534 b	1.4079405	0.0204	10.4	4386.054	163.0	4710.0
134	WD 1856+534 b	NIRSpec / BOTS	Eclipse	WD 1856+534 b	1.4079405	0.0204	10.4	4386.054	163.0	4710.0
135	GJ 3090 b	NIRSpec / BOTS	Transit	GJ 3090 b	2.853136	0.03165	2.13	3.34	693.0	3556.0
136	GJ 3090 b	NIRISS / SOSS	Transit	GJ 3090 b	2.853136	0.03165	2.13	3.34	693.0	3556.0
137	GJ 3473 b	MIRI / Imaging	Eclipse	GJ 3473 b	1.1980035	0.01589	1.264	1.86	773.0	3347.0
138	GJ 357 b	MIRI / Imaging	Eclipse	GJ 357 b	3.93072	0.035	1.217	1.84	525.0	3505.0
139	GJ 9827 d	NIRSpec / BOTS	Transit	GJ 9827 d	6.20147	0.0559	2.022	3.53	681.0	4305.0
140	GJ 9827 d	NIRISS / SOSS	Transit	GJ 9827 d	6.20147	0.0559	2.022	3.53	681.0	4305.0
141	HAT-P-1 b	MIRI / LRS	Transit	HAT-P-1 b	4.46529976	0.05561	14.785	166.86075	1322.0	5980.0
142	HAT-P-11 b	NIRSpec / BOTS	Transit	HAT-P-11 b	4.88780244	0.05254	4.36	26.69772	838.0	4780.0
143	HAT-P-11 b	MIRI / LRS	Transit	HAT-P-11 b	4.88780244	0.05254	4.36	26.69772	838.0	4780.0
144	HAT-P-30 b	NIRSpec / BOTS	Transit	HAT-P-30 b	2.8106	0.0419	16.141	263.7989	1630.0	6304.0
145	HAT-P-65 b	NIRSpec / BOTS	Transit 	HAT-P-65 b	2.6054552	0.03951	21.185	167.49641	1930.0	5835.0
146	HATS-6 b	NIRSpec / BOTS	Transit	HATS-6 b	3.3252725	0.03623	11.187	101.38777	712.8	3724.0
147	HATS-75 b	NIRSpec / BOTS	Transit	HATS-75 b	2.7886556	0.032742	9.909	156.05375	772.3	3790.4
148	HD 106315 c	MIRI / LRS	Transit	HD 106315 c	21.05704	0.1536	4.35	15.2	886.0	6327.0
149	HD 260655 b	MIRI / Imaging	Eclipse	HD 260655 b	2.76953	0.02933	1.24	2.14	709.0	3803.0
150	K2-22 b	MIRI / LRS	Transit	K2-22 b	0.381073	0.009	2.3	444.962	2100.0	3879.0
151	K2-22 b	MIRI / LRS	Phase Curve	K2-22 b	0.381073	0.009	2.3	444.962	2100.0	3879.0
152	KELT-7 b	NIRSpec / BOTS	Transit	KELT-7 b	2.73477	0.04415	17.934	441.7837	2048.0	6768.0
153	Kepler-12 b	NIRSpec / BOTS	Transit	Kepler-12 b	4.4379629	0.0553	19.661	137.30256	1480.0	5947.0
154	PH2 b	NIRSpec / BOTS	Transit	PH2 b	282.5255	0.828	10.12	25426.4	281.0	5629.0
155	TOI 270 b	MIRI / Imaging	Eclipse							
156	TOI 270 d	NIRSpec / BOTS	Transit							
157	TOI 270 d	NIRISS / SOSS	Transit							
158	TOI 270 d	NIRSpec / BOTS	Transit							
159	TOI 270 d	NIRISS / SOSS	Transit							
160	TOI 270 d	MIRI / LRS	Transit							
161	TOI 270 d	NIRSpec / BOTS	Transit							
162	TOI 270 d	NIRISS / SOSS	Transit							
163	L 98-59 b	NIRSpec / BOTS	Transit	L 98-59 b	2.2531136	0.02191	0.85	0.4	627.0	3415.0
164	L 98-59 c	MIRI / Imaging	Eclipse	L 98-59 c	3.6906777	0.0304	1.385	2.22	553.0	3415.0
165	L 98-59 d	NIRSpec / BOTS	Transit	L 98-59 d	7.4507245	0.0486	1.521	1.94	416.0	3415.0
166	L 98-59 d	NIRISS / SOSS	Transit	L 98-59 d	7.4507245	0.0486	1.521	1.94	416.0	3415.0
167	LHS 1140 c	MIRI / Imaging	Eclipse	LHS 1140 c	3.77792	0.02734	1.169	1.76	708.9	2988.0
168	LHS 1478 b	MIRI / Imaging	Eclipse	LHS 1478 b	1.9495378	0.01848	1.242	2.33	595.0	3381.0
169	LHS 3844 b	NIRSpec / BOTS	Phase Curve	LHS 3844 b	0.46292913	0.00622	1.303	2.25	805.0	3036.0
170	LTT 3780 b	MIRI / Imaging	Eclipse	LTT 3780 b	0.768448	0.01211	1.332	2.62	892.0	3331.0
171	LTT 3780 c	NIRSpec / BOTS	Transit	LTT 3780 c	12.2519	0.07673	2.3	8.6	353.0	3331.0
172	LTT 3780 c	NIRISS / SOSS	Transit	LTT 3780 c	12.2519	0.07673	2.3	8.6	353.0	3331.0
173	LTT 3780 c	MIRI / LRS	Transit	LTT 3780 c	12.2519	0.07673	2.3	8.6	353.0	3331.0
174	LTT 9779 b	NIRSpec / BOTS	Phase Curve	LTT 9779 b	0.792052	0.01679	4.72	29.32	1978.0	5443.0
175	NGTS-2 b	NIRSpec / BOTS	Transit	NGTS-2 b	4.511164	0.063	17.878	235.1942	1468.0	6478.0
176	TOI-1130 b	NIRSpec / BOTS	Transit	TOI-1130 b	4.066499	0.04394	3.65	12.9	810.0	4250.0
177	TOI-1130 b	NIRISS / SOSS	Transit	TOI-1130 b	4.066499	0.04394	3.65	12.9	810.0	4250.0
178	TOI-1130 c	NIRSpec / BOTS	Transit	TOI-1130 c	8.350381	0.07098	16.814	309.56642	637.0	4250.0
179	TOI-1130 c	NIRISS / SOSS	Transit	TOI-1130 c	8.350381	0.07098	16.814	309.56642	637.0	4250.0
180	TOI-1231 b	NIRSpec / BOTS	Transit	TOI-1231 b	24.245586	0.1288	3.65	15.4	329.6	3553.0
181	TOI-1231 b	NIRISS / SOSS	Transit	TOI-1231 b	24.245586	0.1288	3.65	15.4	329.6	3553.0
182	TOI-1231 b	MIRI / LRS	Transit	TOI-1231 b	24.245586	0.1288	3.65	15.4	329.6	3553.0
183	TOI-125 b	NIRSpec / BOTS	Transit	TOI-125 b	4.65382	0.05186	2.726	9.5	1037.0	5320.0
184	TOI-125 c	NIRSpec / BOTS	Transit	TOI-125 c	9.15059	0.0814	2.759	6.63	827.8	5320.0
185	TOI-1468 b	MIRI / Imaging	Eclipse	TOI-1468 b	1.8805136		1.28	3.21	682.2	3496.0
186	TOI-1468 c	NIRSpec / BOTS	Transit	TOI-1468 c	15.532482		2.064	6.64	337.5	3496.0
187	TOI-1468 c	NIRISS / SOSS	Transit	TOI-1468 c	15.532482		2.064	6.64	337.5	3496.0
188	TOI-1468 c	MIRI / LRS	Transit	TOI-1468 c	15.532482		2.064	6.64	337.5	3496.0
189	TOI-1685 b	NIRSpec / BOTS	Transit	TOI-1685 b	0.6691403	0.011557	1.7	3.78	1069.0	3434.0
190	TOI-1685 b	NIRISS / SOSS	Transit	TOI-1685 b	0.6691403	0.011557	1.7	3.78	1069.0	3434.0
191	TOI-1685 b	NIRSpec / BOTS	Phase Curve	TOI-1685 b	0.6691403	0.011557	1.7	3.78	1069.0	3434.0
192	TOI-1899 b	NIRSpec / BOTS	Transit	TOI-1899 b	29.02	0.1587	12.89	209.7678	362.0	3841.0
193	TOI-2445 b	NIRSpec / BOTS	Phase Curve	TOI-2445 b	0.3711281	0.0064	1.25	2.1	1060.0	3333.0
194	TOI-3235 b	NIRSpec / BOTS	Transit	TOI-3235 b	2.59261842	0.02709	11.4	211.35589	604.0	3388.8
195	TOI-3714 b	NIRSpec / BOTS	Transit	TOI-3714 b	2.154849	0.027	11.321	222.47988	750.0	3660.0
196	TOI-3757 b	NIRSpec / BOTS	Transit	TOI-3757 b	3.438753	0.03845	12.0	85.3	759.0	3913.0
197	TOI-3984 b	NIRSpec / BOTS	Transit							
198	TOI-5205 b	NIRSpec / BOTS	Transit	TOI-5205 b	1.630757	0.0199	11.6	343.0	737.0	3430.0
199	TOI-5205 b	NIRSpec / BOTS	Transit	TOI-5205 b	1.630757	0.0199	11.6	343.0	737.0	3430.0
200	TOI-5293 b	NIRSpec / BOTS	Transit							
201	TOI-561 b	NIRSpec / BOTS	Transit	TOI-561 b	0.4465688	0.0106	1.425	2.0	2310.0	5372.0
202	TOI-824 b	NIRSpec / BOTS	Eclipse	TOI-824 b	1.392978	0.02177	2.926	18.467	1253.0	4600.0
203	TRAPPIST-1 b	MIRI / Imaging	Phase Curve	TRAPPIST-1 b	1.510826	0.01154	1.116	1.374	397.6	2566.0
204	TRAPPIST-1 c	MIRI / Imaging	Phase Curve	TRAPPIST-1 c	2.421937	0.0158	1.097	1.308	339.7	2566.0
205	TrES-4 b	NIRSpec / BOTS	Transit	TrES-4 b	3.55395	0.05084	18.046	247.9074	1778.0	6200.0
206	WASP-121 b	MIRI / LRS	Eclipse	WASP-121 b	1.27492504	0.02596	19.649	367.72747	2720.0	6776.0
207	WASP-15 b	NIRSpec / BOTS	Transit	WASP-15 b	3.7521	0.05165	15.805	171.6282	1676.0	6300.0
208	WASP-189 b	NIRISS / SOSS	Transit	WASP-189 b	2.724033	0.05053	18.147	632.47853	3353.0	8000.0
209	WASP-47 e	NIRSpec / BOTS	Eclipse	WASP-47 e	0.7895933	0.01673	1.808	6.77		5552.0
210	WASP-52 b	NIRSpec / BOTS	Transit	WASP-52 b	1.7497798	0.0272	14.24	146.2	1315.0	5000.0
211	WASP-69 b	NIRSpec / BOTS	Transit	WASP-69 b	3.86814	0.04525	12.442	92.1707	963.0	4700.0
212	WASP-69 b	MIRI / LRS	Transit	WASP-69 b	3.86814	0.04525	12.442	92.1707	963.0	4700.0
213	WASP-94 A b	NIRSpec / BOTS	Transit	WASP-94 A b	3.95019	0.055	17.71	158.915	1604.0	6170.0
214	WASP-96 b	NIRSpec / BOTS	Transit	WASP-96 b	3.4252602	0.0453	13.45	152.55	1285.0	5540.0
